year,month,total_precip_mm,date
1960,10,55.9,1960-10-01
1960,11,55.1,1960-11-01
1960,12,80.8,1960-12-01
1961,1,119.6,1961-01-01
1961,2,88.4,1961-02-01
1961,3,107.7,1961-03-01
1961,4,127.8,1961-04-01
1961,5,141.0,1961-05-01
1961,6,70.1,1961-06-01
1961,7,50.8,1961-07-01
1961,8,47.2,1961-08-01
1961,9,62.0,1961-09-01
1961,10,187.7,1961-10-01
1961,11,125.5,1961-11-01
1961,12,123.2,1961-12-01
1962,1,123.7,1962-01-01
1962,2,157.2,1962-02-01
1962,3,53.1,1962-03-01
1962,4,148.6,1962-04-01
1962,5,50.3,1962-05-01
1962,6,88.1,1962-06-01
1962,7,135.6,1962-07-01
1962,8,124.5,1962-08-01
1962,9,174.5,1962-09-01
1962,10,145.0,1962-10-01
1962,11,185.4,1962-11-01
1962,12,125.5,1962-12-01
1963,1,146.3,1963-01-01
1963,2,135.1,1963-02-01
1963,3,54.6,1963-03-01
1963,4,109.5,1963-04-01
1963,5,116.3,1963-05-01
1963,6,47.2,1963-06-01
1963,7,55.9,1963-07-01
1963,8,131.3,1963-08-01
1963,9,180.8,1963-09-01
1963,10,79.2,1963-10-01
1963,11,157.7,1963-11-01
1963,12,151.9,1963-12-01
1964,1,139.4,1964-01-01
1964,2,186.2,1964-02-01
1964,3,142.2,1964-03-01
1964,4,116.3,1964-04-01
1964,5,59.7,1964-05-01
1964,6,61.2,1964-06-01
1964,7,144.8,1964-07-01
1964,8,79.2,1964-08-01
1964,9,113.0,1964-09-01
1964,10,121.4,1964-10-01
1964,11,88.4,1964-11-01
1964,12,201.4,1964-12-01
1965,1,103.4,1965-01-01
1965,2,113.5,1965-02-01
1965,3,41.1,1965-03-01
1965,4,42.4,1965-04-01
1965,5,22.6,1965-05-01
1965,6,104.6,1965-06-01
1965,7,55.1,1965-07-01
1965,8,132.6,1965-08-01
1965,9,29.7,1965-09-01
1965,10,94.7,1965-10-01
1965,11,113.0,1965-11-01
1965,12,66.8,1965-12-01
1966,1,94.2,1966-01-01
1966,2,51.3,1966-02-01
1966,3,118.4,1966-03-01
1966,4,23.9,1966-04-01
1966,5,88.9,1966-05-01
1966,6,59.9,1966-06-01
1966,7,44.7,1966-07-01
1966,8,68.8,1966-08-01
1966,9,92.2,1966-09-01
1966,10,88.9,1966-10-01
1966,11,75.9,1966-11-01
1966,12,133.6,1966-12-01
1967,1,115.1,1967-01-01
1967,2,132.1,1967-02-01
1967,3,133.1,1967-03-01
1967,4,65.5,1967-04-01
1967,5,170.9,1967-05-01
1967,6,49.3,1967-06-01
1967,7,135.9,1967-07-01
1967,8,142.7,1967-08-01
1967,9,140.2,1967-09-01
1967,10,185.9,1967-10-01
1967,11,190.8,1967-11-01
1967,12,240.0,1967-12-01
1968,1,126.5,1968-01-01
1968,2,77.2,1968-02-01
1968,3,130.3,1968-03-01
1968,4,70.6,1968-04-01
1968,5,90.9,1968-05-01
1968,6,136.9,1968-06-01
1968,7,14.7,1968-07-01
1968,8,53.1,1968-08-01
1968,9,35.8,1968-09-01
1968,10,88.1,1968-10-01
1968,11,250.2,1968-11-01
1968,12,184.9,1968-12-01
1969,1,134.4,1969-01-01
1969,2,92.5,1969-02-01
1969,3,60.7,1969-03-01
1969,4,125.0,1969-04-01
1969,5,81.0,1969-05-01
1969,6,43.9,1969-06-01
