COORDINATE,COUNTRY/PROVINCES,DGUID,GHG EMISSIONS,SECTOR,UOM,UOM_ID,VECTOR,Year
2.1,Newfoundland and Labrador,2021A000210,7367,"Total, industries and households",Kilotonnes,198,v1013973302,2021
2.1,Newfoundland and Labrador,2021A000210,7514,"Total, industries and households",Kilotonnes,198,v1013973302,2023
2.1,Newfoundland and Labrador,2021A000210,7643,"Total, industries and households",Kilotonnes,198,v1013973302,2022
2.1,Newfoundland and Labrador,2021A000210,8354,"Total, industries and households",Kilotonnes,198,v1013973302,2020
2.1,Newfoundland and Labrador,2021A000210,9034,"Total, industries and households",Kilotonnes,198,v1013973302,2013
2.1,Newfoundland and Labrador,2021A000210,10051,"Total, industries and households",Kilotonnes,198,v1013973302,2014
2.1,Newfoundland and Labrador,2021A000210,10285,"Total, industries and households",Kilotonnes,198,v1013973302,2019
2.1,Newfoundland and Labrador,2021A000210,10350,"Total, industries and households",Kilotonnes,198,v1013973302,2018
2.1,Newfoundland and Labrador,2021A000210,10664,"Total, industries and households",Kilotonnes,198,v1013973302,2017
2.1,Newfoundland and Labrador,2021A000210,10703,"Total, industries and households",Kilotonnes,198,v1013973302,2015
2.1,Newfoundland and Labrador,2021A000210,10913,"Total, industries and households",Kilotonnes,198,v1013973302,2016
2.115,Newfoundland and Labrador,2021A000210,1881,"Total, households",Kilotonnes,198,v1013973414,2023
2.115,Newfoundland and Labrador,2021A000210,1900,"Total, households",Kilotonnes,198,v1013973414,2021
2.115,Newfoundland and Labrador,2021A000210,1977,"Total, households",Kilotonnes,198,v1013973414,2022
2.115,Newfoundland and Labrador,2021A000210,2021,"Total, households",Kilotonnes,198,v1013973414,2020
2.115,Newfoundland and Labrador,2021A000210,2191,"Total, households",Kilotonnes,198,v1013973414,2013
2.115,Newfoundland and Labrador,2021A000210,2354,"Total, households",Kilotonnes,198,v1013973414,2015
2.115,Newfoundland and Labrador,2021A000210,2357,"Total, households",Kilotonnes,198,v1013973414,2019
2.115,Newfoundland and Labrador,2021A000210,2376,"Total, households",Kilotonnes,198,v1013973414,2016
2.115,Newfoundland and Labrador,2021A000210,2438,"Total, households",Kilotonnes,198,v1013973414,2018
2.115,Newfoundland and Labrador,2021A000210,2461,"Total, households",Kilotonnes,198,v1013973414,2014
2.115,Newfoundland and Labrador,2021A000210,2635,"Total, households",Kilotonnes,198,v1013973414,2017
2.118,Newfoundland and Labrador,2021A000210,7922,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2023
2.118,Newfoundland and Labrador,2021A000210,7981,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2021
2.118,Newfoundland and Labrador,2021A000210,8058,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2022
2.118,Newfoundland and Labrador,2021A000210,8603,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2020
2.118,Newfoundland and Labrador,2021A000210,9799,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2013
2.118,Newfoundland and Labrador,2021A000210,10682,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2018
2.118,Newfoundland and Labrador,2021A000210,10790,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2014
2.118,Newfoundland and Labrador,2021A000210,10845,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2019
2.118,Newfoundland and Labrador,2021A000210,10926,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2017
2.118,Newfoundland and Labrador,2021A000210,10967,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973417,2015
