NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,Maximum,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
010102,St. John's,NL,354 Water Street,47.56037903,-52.71147156,7,1HR,0,11.8,0.8,0.5,0.5,0.3,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.567015815
010401,Mount Pearl,NL,Old Placentia Road,47.50513077,-52.79476166,135,1HR,0,8.7,0.7,0.4,0.3,0.3,0.4,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.418606207
010501,Grand Falls - Windsor,NL,Scott Avenue,48.92695999,-55.65966034,62,1HR,0,4.7,0.4,0.5,,0.4,0.5,0.7,0.6,0.3,0.3,,,,,
010602,Corner Brook,NL,Macpherson Ave,48.95223999,-57.92206955,100,1HR,0,4.1,0.5,0.5,0.5,0.4,0.5,0.4,0.7,0.7,0.3,0.4,0.6,0.7,0.5,0.28852775
010901,Burin,NL,18 Hwy 220 (Main St.),47.09899139,-55.19852066,1,1HR,0,1.1,,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.056885746
011002,Labrador City,NL,317 Hudson Drive,52.94548798,-66.91030884,558,1HR,0,52.7,0.1,0.5,0.6,1.3,0.3,0.4,0.5,0.3,0.3,0.3,0.3,0.4,0.4,1.855650015
020104,Charlottetown,PE,3 Brighton Road,46.23300171,-63.13666916,21,1HR,0,49.8,1.2,0.6,0.3,0.2,0.2,0.1,0.1,0,0.1,0.1,0.1,0,0.2,1.270298395
030113,Halifax,NS,1672 Granville Street,44.64710999,-63.5736618,28,1HR,0,10.5,0.6,0.3,0.1,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.384109257
030120,Dartmouth,NS,341 Cherrybrook Road,44.71979904,-63.48075867,68,1HR,0,6.4,0.6,0.6,0.4,0.3,0.3,0.1,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.387220422
030201,Port Hawkesbury,NS,18 Embree Street,45.61416245,-61.36235428,14,1HR,0,52.4,0.6,0.9,0.8,0.6,0.6,0.1,0.2,0.2,0.3,0.6,1,1.3,0.6,2.241356906
030310,Sydney,NS,71 Welton Street,46.14221954,-60.17251968,27,1HR,0,49.9,0.3,0.3,0.4,0.3,0.2,0.4,0.6,0.2,0.2,0.4,0.3,0.3,0.3,1.377109733
030901,Pictou,NS,91 Beeches Road,45.68174362,-62.69657516,12,1HR,0,48.1,0.9,0.5,0.7,0.3,0.2,0.3,0.1,0.2,0.2,0.6,0.9,1.1,0.5,2.172851674
040203,Saint John,NB,Mountain Road,45.3087616,-66.0083847,41,1HR,0,104.6,0.6,0.9,0.6,1.6,5.6,8.5,7.8,4.3,2.3,1.1,1,0.3,2.9,7.222994717
040207,Saint John,NB,476 Lancaster Avenue W.,45.25289917,-66.08006287,59,1HR,0,48.3,1.2,0.7,1.3,0.6,0.7,0.4,0.2,0.4,0.3,0.8,0.9,0.5,0.6,2.010212772
040208,Saint John,NB,111 Champlain Drive,45.2912178,-66.00305176,47,1HR,0,65.1,2.5,2.9,0.7,0.8,1.6,0.7,0.5,0.5,0.3,0.5,1.7,0.9,1.1,4.757572656
040209,Saint John,NB,8 Castle Street,45.28028107,-66.05610657,41,1HR,0,23.3,0.8,0.7,0.7,0.6,0.5,0.5,0.3,0.3,0.2,0.4,0.6,0.4,0.5,1.097172971
041501,Edmundston,NB,19 Queen St.,47.36319351,-68.32230377,159,1HR,0,95.9,2.6,2.3,2.9,2.6,7.4,3,1.4,2.9,1.8,2,2.2,2.4,2.8,7.872279313
050103,Montréal,QC,"1050 A, Boul. Saint-Jean-Baptiste",45.64102554,-73.49967957,19,1HR,0,46.7,0.5,0.6,1.1,1,0.9,0.7,0.6,0.8,0.8,0.6,0.9,0.8,0.8,1.847518141
050122,Brossard,QC,En Face Du 8400 Avenue Sorbonne,45.4486618,-73.4808197,17,1HR,0,16.7,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.1,0.3,0.1,0.2,0.1,0.2,0.462137408
050124,Montréal,QC,7650 Boul. Châteauneuf,45.60284424,-73.55887604,51,1HR,0,34.4,0.7,0.8,0.9,1.2,0.8,0.4,0.2,0.3,0.4,0.2,0.4,0.3,0.5,1.280880159
050126,Montréal,QC,20965 Ch. Sainte-Marie,45.42654037,-73.92893219,39,1HR,0,20.8,0.5,0.4,0.4,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.731056674
050134,Montréal,QC,2580 Saint-Joseph Est,45.54270935,-73.57176208,53,1HR,0,32.7,0.1,0.3,0.2,0.3,0.4,0.3,0.3,0.2,0.4,0.3,0.3,0.2,0.3,0.808233632
050136,Montréal,QC,75 Rue Ontario Est,45.51218796,-73.56684113,32,1HR,0,9.5,0.2,0.4,0.4,0.5,0.5,0.3,0.1,0.2,0.4,0.2,0.4,0.3,0.3,0.668463643
050204,Gatineau,QC,"255 St-Redempteur, Hull",45.43598557,-75.72342682,62,1HR,0,6.7,0.2,0.2,0.2,0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.240080081
050308,Quebec,QC,600 Rue Des Sables,46.82117844,-71.22049713,8,1HR,0,6.7,0.3,0.4,0.2,0.1,0.2,0.3,0.1,0.1,0.2,0.1,0.3,0.3,0.2,0.400410529
050313,Quebec,QC,Autoroute Henri Iv Nord/Sortie 138,46.78132248,-71.30871582,52,1HR,0,7.2,0.1,0.3,0.3,0.1,0.3,0.4,0.2,0.2,0.3,0.2,0.3,0.1,0.2,0.426704661
050604,Rouyn-Noranda,QC,1570 Rue Paradis,48.2340889,-78.98278046,289,1HR,0,418.7,0.7,2.6,1.1,2.7,1.5,0.6,2,2.2,1.5,0.8,3,2.7,1.7,8.80940007
050803,Trois Rivières,QC,Rue Whitehead,46.35717392,-72.54618835,12,1HR,0,30.7,,,,,0.5,0.4,0.5,0.3,0.1,0.2,0.3,0.2,,
050902,Saguenay,QC,"2885 Berthier (Arvida), Jonquiere",48.4338913,-71.18453979,93,1HR,0,109.1,4.9,3.2,8,6,2.3,4.1,6.2,3.4,3.5,7.1,8.1,7.8,5.4,12.05471393
054401,Saint-Anicet,QC,1128 De La Guerre,45.12062454,-74.28959656,50,1HR,0,33.3,0.5,0.5,0.4,0.5,0.5,0.2,0.1,0.1,0.2,0.1,0.4,0.2,0.3,1.078990018
055702,Levis,QC,200 Rue Des Commandeurs,46.80603027,-71.16750336,106,1HR,0,12,0.3,0.4,0.2,0.2,0.4,0.5,0.2,0.2,0.4,0.1,0.4,0.2,0.3,0.555899179
060104,Ottawa,ON,Rideau & Wurtemburg,45.43432999,-75.6760025,68,1HR,0,4,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.175817242
060204,Windsor,ON,467 University Ave. West,42.31577682,-83.04367065,176,1HR,0,19.6,0.2,0.3,0.3,0.3,0.2,0.5,0.5,0.3,0.3,0.3,0.4,0.3,0.3,0.852033733
060211,Windsor,ON,College & South St. / 928 South St.,42.29288864,-83.07313538,180,1HR,0,32.2,1.1,0.9,1.1,0.7,0.5,0.7,1.2,0.5,0.6,0.6,1,0.7,0.8,1.601700277
060430,Toronto,ON,125 Resources Road,43.70944214,-79.54350281,141,1HR,0,10,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.4,0.1,0.2,0.406501635
060438,Toronto,ON,401w - 125 Resources Rd.,43.71110535,-79.54342651,139,1HR,0,5.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.23249525
060440,Toronto,ON,4905 Dufferin Street,43.7804184,-79.46752167,,1HR,0,7.9,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.2,0.377222367
060512,Hamilton,ON,Elgin & Kelly,43.25777817,-79.86167145,90,1HR,0,89.7,1.9,1.8,3.5,5.2,8.6,5.4,4.4,4.5,3.8,1.8,1.6,1.2,3.7,8.658597139
060521,Hamilton,ON,250 Fennell Ave W.,43.24132156,-79.88941193,195,1HR,0,84.6,1.5,1.2,3.1,4,4.7,3.8,3,3,2.5,1.4,0.7,0.6,2.5,5.877914029
060610,Sudbury,ON,155 Elm Street,46.49193954,-81.00311279,271,1HR,0,60,1.1,0.8,0.8,1.1,0.9,1.3,0.4,,1.2,0.8,0.8,0.8,0.9,2.522692085
060709,Sault Ste. Marie,ON,"443 Northern Ave., Sault College",46.53319168,-84.30992126,244,1HR,0.1,29.8,0.5,0.8,0.4,0.6,0.5,0.9,0.6,0.5,0.5,0.7,0.8,0.9,0.6,1.526354249
061007,Sarnia,ON,1300 Tashmoo Ave./ Lasalle Line,42.91254425,-82.41681671,180,1HR,0,59.4,0.9,0.9,1.3,1.2,1.1,2.1,1.9,1.1,1.4,0.8,1.8,0.7,1.3,2.955168189
061009,Sarnia,ON,700 Christina St. N.,42.99026489,-82.39533997,182,1HR,0,84.4,3.5,1.3,2.3,0.6,0.7,1.1,1.5,1.2,2.9,1.6,5.5,1.3,2,6.694572179
062601,Simcoe,ON,Experimental Farm,42.85684967,-80.26963806,236,1HR,0.2,5.8,0.4,0.4,0.5,0.5,0.7,1.2,1,1.1,1.2,1.2,0.6,0.5,0.8,0.457199182
067001,Milton,ON,1120 Main St East,43.52965164,-79.86244965,206,1HR,0,7.2,0.5,0.8,0.6,0.8,0.7,0.6,,,,,,,,
070301,Flin Flon,MB,143 Main Street,54.76852036,-101.8774719,339,1HR,0,6.6,0.2,0.2,0.4,,,,0,0,0.1,0.1,0.1,0.1,,
080111,Regina,SK,1621 Albert St.,50.45270157,-104.6159973,585,1HR,0,29.7,0.5,0.5,0.5,0.2,0.3,0.3,0.1,0.5,0.3,0.1,0.1,0.1,0.3,0.745584194
080211,Saskatoon,SK,511 1st Avenue North,52.13613129,-106.6629333,483,1HR,0,2.2,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0,0.08214784
080402,Prince Albert,SK,63 - 12th Street East,53.20169449,-105.7520294,436,1HR,0,17.4,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.255215219
080502,Estevan,SK,528 1a Street,49.13235092,-102.984993,563,1HR,0,178.3,0.9,4.5,1.6,1.1,0.8,1.4,1.5,0.5,1.3,0.5,1.5,0.6,1.3,6.621015118
081001,Swift Current,SK,1200 Begg St. W,50.28583145,-107.8168869,753,1HR,0,5.8,0.3,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0.1,0.194543558
082002,Buffalo Narrows,SK,Buffalo Narrows Forest Protection Base,55.83456421,-108.4033356,425,1HR,0,5.1,0.5,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.242717641
090120,Edmonton,AB,6240 113 Street,53.50022125,-113.5260544,681,1HR,0,25,0.5,0.2,0.7,0.1,0.1,0.3,0.2,0.2,0.1,0.3,0.2,0.3,0.3,1.00599736
090121,Edmonton,AB,17 Street & 105 Avenue,53.54822922,-113.3681107,670,1HR,0,45,1,0.9,1.2,0.5,0.8,1.3,0.7,0.8,0.4,0.7,0.6,0.6,0.8,1.853169672
