NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,Maximum,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
060104,Ottawa,ON,Rideau & Wurtemburg,45.43432999,-75.6760025,68,1HR,0,3.4,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.217731332
060204,Windsor,ON,467 University Ave. West,42.31577682,-83.04367065,176,1HR,0,32.8,0.8,1.2,0.7,1.4,1.1,1.1,1,0.9,0.6,1.4,1,1.5,1.1,2.217278303
060211,Windsor,ON,College & South St. / 928 South St.,42.29288864,-83.07313538,180,1HR,-0.3,28.2,1.1,1.5,0.8,1,0.9,1.2,0.8,0.4,0.3,0.8,0.8,1.2,0.9,1.834907489
060430,Toronto,ON,125 Resources Road,43.70944214,-79.54350281,141,1HR,0,11,0.2,0.4,0.4,0.6,0.6,0.4,0.4,0.5,0.6,0.9,0.7,0.7,0.5,0.593803289
060438,Toronto,ON,401w - 125 Resources Rd.,43.71110535,-79.54342651,139,1HR,0,10.5,0.3,0.3,0.3,0.5,0.3,0.4,0.3,0.3,0.5,0.5,0.3,0.2,0.3,0.535802508
060440,Toronto,ON,4905 Dufferin Street,43.7804184,-79.46752167,,1HR,-0.1,7.6,0.2,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.459679971
060512,Hamilton,ON,Elgin & Kelly,43.25777817,-79.86167145,90,1HR,0,86.4,1.3,2.2,2.6,4.6,6.8,4.4,3.9,3.8,7.2,2.8,2,1.4,3.6,8.164428254
060513,Hamilton,ON,Vickers Rd. & East 18th. St.,43.22941971,-79.86277771,209,1HR,-0.3,72.7,1.1,1.3,1.3,3.5,4,1.8,2.2,1.7,2.1,1.2,0.7,1.7,1.9,4.159312811
060610,Sudbury,ON,155 Elm Street,46.49193954,-81.00311279,271,1HR,-0.1,119.2,2,1.9,0.8,0.8,1.2,0.4,2.1,1.8,1.1,1.9,1,1.7,1.4,4.871993195
060709,Sault Ste. Marie,ON,"443 Northern Ave., Sault College",46.53319168,-84.30992126,244,1HR,0,43.4,0.8,1.6,0.6,0.5,0.8,0.7,1.1,0.5,0.5,0.4,1,1.2,0.8,2.458341257
061007,Sarnia,ON,1300 Tashmoo Ave./ Lasalle Line,42.91254425,-82.41681671,180,1HR,-0.5,57.6,,,,,,1.3,0.9,0.3,1,1,0.9,0.6,,
061009,Sarnia,ON,700 Christina St. N.,42.99026489,-82.39533997,182,1HR,-0.2,72.3,0.9,2.1,1.2,1.9,1.6,1.8,0.7,0.9,1.9,2.6,3.7,1,1.7,5.499463504
062601,Simcoe,ON,Experimental Farm,42.85684967,-80.26963806,236,1HR,-0.9,9.9,0.1,0.3,0.3,0.6,0.7,0.9,1,0.9,0.8,0.8,0.5,0.4,0.6,0.468359449
070119,Winnipeg,MB,65 Ellen Street,49.89799118,-97.14653015,229,1HR,0,14,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.3,0.1,0.460354331
