NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,Maximum,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
090230,Calgary,AB,2425 9th Ave Se,51.0309,-114.0091,1038,1HR,0.01,2.76,0.47,0.3,0.27,0.19,0.31,0.23,0.26,0.27,0.29,0.25,0.32,0.39,0.3,0.215156887
090235,Calgary,AB,3303 - 33 Street Nw,51.082655,-114.138827,1100,1HR,0,2.72,0.28,0.24,0.22,0.17,0.28,0.21,0.24,0.25,0.24,0.2,0.23,0.27,0.24,0.144999832
090250,Airdrie,AB,Chinook Winds Park,51.268078,-114.037794,1090,1HR,0,2.74,0.22,0.2,0.2,0.18,0.34,0.28,0.34,0.34,0.31,0.23,0.21,0.23,0.26,0.145181177
090302,Red Deer,AB,73 Street & Riverside Drive,52.29867,-113.79352,858,1HR,0,2,0.31,0.22,0.2,0.15,0.27,0.2,0.24,0.24,0.27,0.18,0.24,0.28,0.23,0.140325001
090304,Red Deer,AB,11 Lancaster Drive,52.24095,-113.765439,907,1HR,0,1.9,0.25,0.19,0.18,0.17,0.32,0.25,0.28,0.29,0.27,0.19,0.21,0.22,0.24,0.135705634
090402,Medicine Hat,AB,12th St Nw & Division Ave.,50.04893,-110.68116,709,1HR,0,1.1,0.15,0.13,0.1,0.12,0.18,0.16,0.21,0.21,0.21,0.15,0.14,0.14,0.16,0.09930167
090502,Lethbridge,AB,28 Street & 12 Avenue N.,49.71621,-112.8006,918,1HR,0,1.3,0.17,0.16,0.2,0.16,0.21,0.2,0.21,0.24,0.23,0.19,0.2,0.2,0.2,0.096151921
090601,Fort Saskatchewan,AB,9209a-96 Ave,53.69874,-113.22285,628,1HR,0,2.53,0.29,0.21,0.2,0.14,0.27,0.22,0.28,0.25,0.29,0.18,0.2,0.28,0.24,0.164479781
090701,Fort Mcmurray,AB,Macdonald Dr.,56.73341,-111.39047,260,1HR,0.1,3.6,0.2,0.17,0.17,0.12,0.3,0.25,0.34,0.4,0.38,0.19,0.18,0.2,0.24,0.228450563
090801,Fort Mckay,AB,Main Street,57.18941,-111.6405,268,1HR,0.1,3.4,0.22,0.21,0.2,0.22,0.42,0.46,0.53,0.58,0.58,0.28,0.25,0.25,0.35,0.258170359
090808,Conklin,AB,1-33-076-08 W4,55.621408,-111.17269,673,1HR,0.1,3.3,0.16,0.14,0.15,0.14,0.36,0.28,0.35,0.38,0.36,0.17,0.16,0.18,0.24,0.213667133
091701,Steeper,AB,Ne 12 48 22 W5,53.1325,-117.09111,1400,1HR,0.07,6.71,0.13,0.13,0.13,0.13,0.4,0.26,0.3,0.29,0.22,0.12,0.13,0.12,0.2,0.226570074
091801,Fort Chipewyan,AB,Fort Chipewyan,58.70879,-111.17683,238,1HR,0,5.6,0.02,0.02,0.02,0.02,0.14,0.16,0.19,0.41,0.36,0.07,0.03,0.03,0.12,0.320094317
092001,Grande Prairie,AB,10327 - 107 Avenue,55.1766,-118.8078,658,1HR,0.09,7.34,0.37,0.24,0.23,0.19,0.5,0.26,0.32,0.29,0.38,0.22,0.26,0.36,0.3,0.270510307
100111,Metro Vancouver - Port Moody,BC,Moody Street & Esplanade Avenue,49.280893,-122.849291,6,1HR,0.05,1.88,0.2,0.17,0.19,0.16,0.19,0.17,0.19,0.28,0.23,0.22,0.25,0.22,0.21,0.103943333
100112,Metro Vancouver - Vancouver,BC,Robson/Hornby,49.282272,-123.12188,32,1HR,0.07,2.59,,,,0.22,0.21,0.21,0.19,0.27,0.27,0.3,0.31,0.29,,
100119,Metro Vancouver - Burnaby,BC,5455 Rumble Street,49.21519,-122.985666,122,1HR,0.07,0.73,0.2,0.19,0.18,0.17,0.17,0.14,0.14,0.21,0.21,0.21,0.25,0.23,0.19,0.068319506
100127,Metro Vancouver - Surrey,BC,72nd Ave. And 190 St.,49.132928,-122.694224,79,1HR,0.08,1.03,0.19,0.18,0.18,0.16,0.15,0.13,0.13,0.19,0.2,0.22,0.25,0.21,0.18,0.075443101
100128,Metro Vancouver - Richmond,BC,10371 Aragon Rd,49.141437,-123.108215,4,1HR,0.06,0.86,0.19,0.17,0.18,0.14,0.13,0.1,0.1,0.15,0.17,0.21,0.25,0.2,0.17,0.091557666
100132,Metro Vancouver - North Vancouver,BC,16th St. & Jones Ave,49.323994,-123.083496,71,1HR,0.09,0.77,0.2,0.19,0.2,0.17,0.17,0.16,0.16,0.23,0.22,0.24,0.27,0.24,0.2,0.080580371
100134,Metro Vancouver - Richmond,BC,3153 Templeton Street,49.186265,-123.152422,1,1HR,0.08,1.19,0.23,0.21,0.21,0.17,0.16,0.13,0.14,0.21,0.22,0.27,0.28,0.26,0.21,0.105222768
100140,Metro Vancouver - Delta,BC,411 Milsom Wynd,49.009877,-123.081997,52,1HR,0.06,1.06,0.16,0.15,0.15,0.15,0.13,0.11,0.1,0.15,0.15,0.16,0.18,0.17,0.15,0.049444187
100141,Metro Vancouver - Vancouver,BC,1290 East 11th Ave.,49.260267,-123.077776,30,1HR,0.09,1.92,0.37,0.33,0.32,0.24,0.22,0.22,0.21,0.31,0.34,0.44,0.51,0.38,0.33,0.202082727
100304,Victoria,BC,"Sj Willis School, 923 Topaz Ave.",48.441942,-123.363165,29,1HR,0,1.06,0.14,0.11,0.06,0.04,0.08,0.1,0.11,0.18,0.19,0.21,0.22,0.19,0.14,0.1080563
100703,Kelowna,BC,1450 Klo Road,49.862119,-119.467461,350,1HR,0.06,2.82,0.24,0.18,0.18,0.14,0.15,0.16,0.17,0.45,0.24,0.22,0.26,0.23,0.22,0.177069001
101005,Abbotsford,BC,1073 Columbia Street,49.021554,-122.326523,65,1HR,0.06,1.51,0.14,0.13,0.13,0.14,0.16,0.16,0.15,0.22,0.21,0.21,0.22,0.2,0.17,0.076254366
101101,Metro Vancouver - Chilliwack,BC,46360 Airport Road,49.155848,-121.940279,12,1HR,0.09,2.34,0.19,0.17,0.18,0.17,0.17,0.16,0.16,0.28,0.22,0.2,0.22,0.19,0.19,0.097136926
101501,Metro Vancouver - Maple Ridge,BC,23124 118th Avenue,49.214939,-122.582057,50,1HR,0.06,1.32,0.18,0.16,0.16,0.14,0.13,0.12,0.11,0.18,0.17,0.2,0.24,0.2,0.17,0.081095095
129003,Yellowknife,NT,"52nd Ave. & 49th Street, Sir John Franklin High School",62.45207,-114.364,193,1HR,0,10.4,0.19,0.17,0.29,0.35,0.14,0.39,0.66,1.77,2.1,0.59,0.61,0.34,0.63,0.830191725
129601,Fort Smith,NT,95 Conibear Crescent,60.00455,-111.893241,358,1HR,0.26,31.03,0.64,0.56,0.57,0.56,0.67,0.69,1.6,2.78,1.59,0.57,0.58,0.35,0.94,1.318963257
