*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","3/5/2025"
"",""
"Annual Summary Report",""
"Pollutant: PM2.5",""
"Units: micrograms per cubic metre (µg/m3)",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"040207","Saint John","NB","476 Lancaster Avenue W.","45.25289917","-66.08006287","59","1HR","0","2","3","4","6","7","9","11","14","16","22","31","99.1917122","5","6","5","5","5","6","6","5","4","5","6","5","5","3.133075632","",""
"040208","Saint John","NB","111 Champlain Drive","45.2912178","-66.00305176","47","1HR","0","2","3","4","6","7","9","11","14","17","21","34","98.57695811","5","5","5","5","5","6","6","5","4","5","6","4","5","3.197950867","",""
"040209","Saint John","NB","8 Castle Street","45.28028107","-66.05610657","41","1HR","0","2","3","4","6","7","9","12","15","17","24","37","99.43078324","5","6","5","5","5","6","7","6","4","4","6","4","5","3.356164333","",""
"040302","Moncton","NB","5 Thanet Street","46.10157776","-64.78965759","9","1HR","0","2","4","5","6","7","10","12","14","16","28","44","96.0496357","7","7","5","6","4","6","6","5","5","5","6","5","6","3.185331629","",""
"040901","St. Andrews","NB","Brandy Cove Road","45.08691025","-67.07403564","25","1HR","0","2","3","4","5","5","7","8","10","12","17","18","99.76092896","4","4","4","4","4","5","5","4","3","4","5","4","4","2.273611898","",""
"041302","Bathurst","NB","1255 Rough Waters Drive","47.60969162","-65.63350677","16","1HR","0","2","3","4","6","7","9","11","16","20","37","70","98.25819672","7","6","5","5","4","6","5","5","4","4","6","5","5","3.841385178","",""
"041501","Edmundston","NB","19 Queen St.","47.36319351","-68.32230377","159","1HR","0","3","4","5","7","8","11","14","18","21","34","45","98.50865209","8","9","6","5","5","6","6","5","4","5","7","5","6","3.98893971","",""
"041601","Miramichi","NB","15 Gretna Green Drive","47.0256691","-65.52048492","24","1HR","0","1","3","4","5","6","7","9","11","13","21","39","90.07285974","","5","4","4","4","4","5","4","3","4","5","4","4","2.602714527","",""
"050103","Montréal","QC","1050 A, Boul. Saint-Jean-Baptiste","45.64102554","-73.49967957","19","1HR","0","2","4","6","8","10","14","18","26","33","54","105","99.22586521","9","12","7","5","5","7","6","5","6","6","9","9","7","6.468137572","",""
"050109","Montréal","QC","2495 Duncan / Decarie, Mt-Royal","45.5026474","-73.66390991","41","1HR","0","2","4","6","9","11","15","21","29","38","65","117","95.81056466","12","14","9","7","7","9","7","7","6","5","9","7","8","7.128684998","",""
"050113","Laval","QC","1160 Boul Pie-Ix","45.54746246","-73.7483139","35","1HR","0","3","4","6","8","10","14","18","27","39","63","96","97.04007286","10","13","8","5","5","6","7","6","6","6","10","9","8","6.754700015","",""
"050119","Longueuil","QC","Face Au 1819 Rue Victoria","45.52207184","-73.48809814","32","1HR","0","3","4","6","8","10","13","17","24","30","62","114","98.11020036","9","12","7","5","5","8","7","6","5","5","9","9","7","5.943770894","",""
"050122","Brossard","QC","En Face Du 8400 Avenue Sorbonne","45.4486618","-73.4808197","17","1HR","0","3","4","5","7","9","11","15","20","25","39","64","97.7345173","9","9","6","5","5","7","7","6","5","5","8","8","7","4.629352689","",""
"050124","Montréal","QC","7650 Boul. Châteauneuf","45.60284424","-73.55887604","51","1HR","0","2","4","6","8","11","15","18","27","34","57","148","93.04417122","10","13","8","6","6","7","7","6","6","6","9","8","8","6.704337178","",""
"050126","Montréal","QC","20965 Ch. Sainte-Marie","45.42654037","-73.92893219","39","1HR","0","2","3","5","7","9","13","18","28","34","53","57","63.25136612","8","10","7","","","","","4","4","4","8","7","","","",""
"050128","Montréal","QC","90-A Rue Herve-Saint-Martin, Dorval","45.46832275","-73.74119568","33","1HR","0","2","3","5","7","9","12","16","24","32","52","126","99.22586521","9","10","6","5","5","6","6","5","4","4","8","6","6","6.021741003","",""
"050129","Montréal","QC","12400 Wilfrid-Ouellette (R-D-P)","45.65169144","-73.57382202","29","1HR","0","2","3","5","8","10","13","18","26","33","55","69","97.49544627","9","12","7","5","5","6","6","5","5","5","8","7","7","6.308312429","",""
"050131","Montréal","QC","3259 Ste-Catherine Est","45.53992844","-73.54039001","25","1HR","0","2","4","5","8","10","14","18","25","31","50","108","93.38570128","9","11","7","5","4","7","6","5","5","5","10","9","7","6.217956393","",""
"050134","Montréal","QC","2580 Saint-Joseph Est","45.54270935","-73.57176208","53","1HR","0","1","3","4","6","8","11","16","22","27","49","101","97.93943534","8","10","6","4","4","6","4","4","5","4","8","7","6","5.622641298","",""
"050135","Montréal","QC","4240 Rue Charleroi","45.59339905","-73.63726044","41","1HR","0","2","4","6","8","10","14","18","27","35","59","80","91.99681239","9","12","8","6","","7","7","5","6","5","8","8","7","6.426799524","",""
"050136","Montréal","QC","75 Rue Ontario Est","45.51218796","-73.56684113","32","1HR","0","2","3","5","8","9","12","16","22","28","46","110","98.69080146","9","10","6","5","5","8","6","5","5","5","8","7","7","5.502090293","",""
"050137","Terrebonne","QC","Rues Vaillant Et De Grand-Champ","45.70476151","-73.65776062","34","1HR","0","3","4","6","9","12","17","24","38","46","90","145","96.32285974","13","15","9","6","6","8","8","6","6","7","11","11","9","8.93374841","",""
"050138","Montréal","QC","1540 Roberval","45.46461105","-73.58258057","25","1HR","0","2","4","6","8","10","14","19","27","33","49","136","92.41803279","10","12","7","5","6","8","7","6","6","3","8","8","7","6.557517606","",""
