NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,Maximum,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
010102,St. John's,NL,354 Water Street,47.56038,-52.71147,7,1HR,0,4.5,0.1,0.1,0.2,0.1,0.2,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.169467281
010401,Mount Pearl,NL,Old Placentia Road,47.50513,-52.79476,135,1HR,0,4.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.154175167
010501,Grand Falls - Windsor,NL,Scott Avenue,48.92696,-55.65966,62,1HR,0,2,0.6,,0.6,0.8,,,,0.4,0.7,0.6,,,,
010602,Corner Brook,NL,Macpherson Ave,48.95224,-57.92207,100,1HR,0,1.7,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,,0.2,0.093459023
011002,Labrador City,NL,317 Hudson Drive,52.945487,-66.910306,558,1HR,0,37.2,0.4,0.4,0.4,0.8,0.5,0.9,0.3,0.4,0.2,0.2,0.3,0.5,0.4,1.187671158
020104,Charlottetown,PE,3 Brighton Road,46.233,-63.13667,21,1HR,0,5,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.146349102
030113,Halifax,NS,1672 Granville Street,44.64711,-63.57366,28,1HR,0,24.1,0.7,1.2,0.2,0.2,0.3,0.1,0.1,0.1,0.3,0.4,0.4,0.5,0.4,1.143086183
030120,Dartmouth,NS,341 Cherrybrook Road,44.7198,-63.48076,68,1HR,0,36.4,0.5,0.5,0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.598111373
030201,Port Hawkesbury,NS,18 Embree Street,45.614161,-61.362356,14,1HR,0,89.7,1,0.8,0.6,0.7,0.3,0.2,0.8,1.7,0.9,0.8,0.9,0.5,0.8,2.533091065
030310,Sydney,NS,71 Welton Street,46.14222,-60.17252,27,1HR,0,104.9,0.2,0.2,0.4,0.4,0.7,0.5,0.3,0.8,0.4,0.3,0.3,0.5,0.4,2.239326045
030901,Pictou,NS,91 Beeches Road,45.681744,-62.696575,12,1HR,0,39.7,0.6,0.5,0.4,0.4,0.2,0.2,0.2,0.2,0.3,1,0.6,1.4,0.5,1.89706374
040203,Saint John,NB,Mountain Road,45.308762,-66.008384,41,1HR,0,107.7,0.6,1.3,1.6,1.7,3.1,3.7,9.1,4.9,1.3,0.4,1.3,0.3,2.5,6.33826337
