*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-04-04"
"",""
"Annual Summary Report",""
"Pollutant: SO2",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"060104","Ottawa","ON","Rideau & Wurtemburg","45.43432999","-75.6760025","68","1HR","0","0.1","0.1","0.1","0.2","0.2","0.3","0.4","0.6","0.7","1.4","2.7","99.69178082","0.3","0.3","0.2","0.2","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.136470175","",""
"060204","Windsor","ON","467 University Ave. West","42.31577682","-83.04367065","176","1HR","-0.1","0","0","0.1","0.2","0.4","1","2.3","4.4","6.2","12.3","21.8","97.19178082","1","0.4","0.7","0.4","0.4","0.5","0.4","0.3","0.1","0.1","0.3","0.4","0.4","1.214364339","",""
"060211","Windsor","ON","College & South St. / 928 South St.","42.29288864","-83.07313538","180","1HR","-1.3","-0.1","0.1","0.3","0.6","0.9","1.9","3.8","6.4","8.4","17.9","31.7","91.80365297","0.8","0.8","1","0.6","0.4","0.7","","1.1","0.8","0.7","1.1","1","0.8","1.765956366","",""
"060430","Toronto","ON","125 Resources Road","43.70944214","-79.54350281","141","1HR","0","0","0.1","0.1","0.2","0.3","0.5","0.9","1.6","2.5","6.5","11.8","96.55251142","0.2","0.3","0.4","0.3","0.2","0.3","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.533943474","",""
"060438","Toronto","ON","401w - 125 Resources Rd.","43.71110535","-79.54342651","139","1HR","0","0","0.1","0.1","0.2","0.3","0.4","0.5","0.9","1.3","5","10.4","98.40182648","0.2","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.1","0.2","0.352539067","",""
"060440","Toronto","ON","4905 Dufferin Street","43.7804184","-79.46752167","","1HR","-0.1","0","0","0","0.1","0.2","0.3","0.6","1.2","2","5.2","8.6","98.36757991","0.1","0.2","0.3","0.2","0.1","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.419293755","",""
"060512","Hamilton","ON","Elgin & Kelly","43.25777817","-79.86167145","90","1HR","0","0.2","0.4","0.7","2","4.9","15.4","26.4","40.9","52.1","81.4","123.7","99.38356164","2.2","2.8","2.9","7.8","10.3","8.7","5.2","4.7","4.3","3.3","2.1","2.8","4.8","10.40087519","",""
"060521","Hamilton","ON","250 Fennell Ave W.","43.24132156","-79.88941193","195","1HR","-0.1","0.1","0.3","0.5","1.7","3.9","10.2","19.2","31.9","40.4","58.4","68.7","97.39726027","1.7","1.9","2.3","6.4","8.2","7.4","3","3","2.7","2.4","1.1","1","3.5","7.640933039","",""
"060610","Sudbury","ON","155 Elm Street","46.49193954","-81.00311279","271","1HR","0","0.1","0.1","0.2","0.5","0.9","2.7","5.6","10.8","15.9","35.8","93.8","98.12785388","1","1.6","2.1","1","1.1","0.9","1.1","1","1","0.8","0.9","1.2","1.2","3.343196349","",""
"060709","Sault Ste. Marie","ON","443 Northern Ave., Sault College","46.53319168","-84.30992126","244","1HR","0","0","0.1","0.1","0.2","0.3","0.8","2.8","9.2","14.4","36.7","52","98.25342466","0.6","0.3","0.7","0.4","0.8","0.9","0.8","0.8","0.3","0.5","1.1","1.2","0.7","2.760010395","",""
