NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,Maximum,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
010102,St. John's,NL,354 Water Street,47.56038,-52.71147,7,1HR,0,10.5,0.5,0.4,0.4,0.7,0.8,1.1,1.6,2,1.1,1,0.4,0.7,0.9,0.765258438
010401,Mount Pearl,NL,Old Placentia Road,47.50513,-52.79476,135,1HR,0,7.9,1.2,1,0.9,1,1.1,1.1,1.1,0.8,0.7,0.8,0.7,0.8,0.9,0.723909693
010501,Grand Falls - Windsor,NL,Scott Avenue,48.92696,-55.65966,62,1HR,0,2.9,0.4,0.3,0.5,0.7,0.5,0.4,0.7,0.6,0.3,0.5,0.6,0.4,0.5,0.23679824
010602,Corner Brook,NL,Macpherson Ave,48.95224,-57.92207,100,1HR,0,11.8,0.6,0.4,0.4,,,0.8,0.8,0.8,0.8,0.6,0.7,0.7,,
010901,Burin,NL,18 Hwy 220 (Main St.),47.09899,-55.19852,1,1HR,0,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.07561627
011002,Labrador City,NL,317 Hudson Drive,52.945487,-66.910306,558,1HR,0,62.4,0.4,0.5,1.7,0.5,0.2,0.6,0.3,0.3,0.3,0.9,0.9,0.6,0.6,2.123453184
020104,Charlottetown,PE,3 Brighton Road,46.233,-63.13667,21,1HR,0,16.3,0.6,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0,0.1,,0.3,0.2,0.488131063
030113,Halifax,NS,1672 Granville Street,44.64711,-63.57366,28,1HR,0,23.2,0.4,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.6,0.8,0.3,0.73132845
030118,Halifax,NS,1649 Barrington Street,44.646425,-63.573383,18,1HR,0,5.2,,,,,,,,,,,,,,
030120,Dartmouth,NS,341 Cherrybrook Road,44.7198,-63.48076,68,1HR,0,7.3,0.3,0.3,0.4,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.3,1.1,0.3,0.550831263
030201,Port Hawkesbury,NS,18 Embree Street,45.614161,-61.362356,14,1HR,0,61.3,0.6,0.7,0.4,0.9,1.4,1.3,1.3,0.6,1.1,0.7,0.5,0.6,0.8,2.913641748
030310,Sydney,NS,71 Welton Street,46.14222,-60.17252,27,1HR,0,85.1,0.4,0.4,1.5,1,0.5,0.4,0.2,0.3,0.6,0.3,0.4,0.3,0.5,2.639112534
