"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-01","2012","01","01","","-0.5","","-3.4","","-2.0","","20.0","","0.0","","0.0","","","M","15.1","","2","","36","","33",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-02","2012","01","02","","6.8","","-2.6","","2.1","","15.9","","0.0","","","M","","M","6.9","","18","","17","","54",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-03","2012","01","03","","7.0","","-0.9","","3.1","","14.9","","0.0","","","M","","M","0.7","","6","","23","","54",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-04","2012","01","04","","-0.2","","-3.5","","-1.9","","19.9","","0.0","","0.0","","","M","15.0","","5","","30","","65",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-05","2012","01","05","","-2.6","","-6.3","","-4.5","","22.5","","0.0","","","M","","M","0.0","","7","","26","","57",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-06","2012","01","06","","-0.2","","-12.7","","-6.5","","24.5","","0.0","","0.0","","","M","7.8","","13","","27","","44",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-07","2012","01","07","","-3.4","","-13.4","","-8.4","","26.4","","0.0","","","M","","M","0.6","","14","","26","","32",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-08","2012","01","08","","2.1","","-3.9","","-0.9","","18.9","","0.0","","","M","","M","0.7","","15","","28","","33",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-09","2012","01","09","","-1.1","","-7.8","","-4.5","","22.5","","0.0","","","M","","M","1.2","","13","","","","<31",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-10","2012","01","10","","-5.2","","-8.0","","-6.6","","24.6","","0.0","","","M","","M","0.6","","14","","","","<31",""
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2012-01-11","2012","01","11","","-1.3","","-12.9","","-7.1","","25.1","","0.0","","","M","","M","0.0","","14","","32","","56",""
