"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-01","2013","01","01","","2.0","","-2.3","","-0.2","","18.2","","0.0","","","M","","M","0.0","","","","29","","83",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-02","2013","01","02","","0.2","","-5.6","","-2.7","","20.7","","0.0","","","M","","M","3.1","","","","27","","74",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-03","2013","01","03","","0.7","","-4.0","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","24","","76",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-04","2013","01","04","","-0.8","","-7.2","","-4.0","","22.0","","0.0","","","M","","M","0.6","","","","24","","50",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-05","2013","01","05","","1.9","","-8.4","","-3.3","","21.3","","0.0","","","M","","M","0.0","","","","20","","72",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-06","2013","01","06","","0.3","","-10.7","","-5.2","","23.2","","0.0","","","M","","M","0.0","","","","31","","57",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-07","2013","01","07","","0.4","","-10.0","","-4.8","","22.8","","0.0","","","M","","M","1.2","","","","16","","87",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-08","2013","01","08","","1.9","","-9.0","","-3.6","","21.6","","0.0","","","M","","M","0.0","","","","26","","89",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-09","2013","01","09","","2.0","","-9.3","","-3.7","","21.7","","0.0","","","M","","M","0.0","","","","28","","67",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-10","2013","01","10","","2.0","","-3.0","","-0.5","","18.5","","0.0","","","M","","M","7.7","","","","2","","119",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-11","2013","01","11","","2.3","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-12","2013","01","12","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-13","2013","01","13","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-14","2013","01","14","","4.8","","0.2","","2.5","","15.5","","0.0","","","M","","M","","M","","","","","<31",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-15","2013","01","15","","3.6","","-6.1","","-1.3","","19.3","","0.0","","","M","","M","0.0","","","","27","","54",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-16","2013","01","16","","-2.4","","-8.2","","-5.3","","23.3","","0.0","","","M","","M","1.2","","","","30","","46",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-17","2013","01","17","","2.3","","-6.3","","-2.0","","20.0","","0.0","","","M","","M","1.6","","","","26","","54",""
"-53.08","46.66","CAPE RACE (AUT)","8401000","2013-01-18","2013","01","18","","1.2","","-16.6","","-7.7","","25.7","","0.0","","","M","","M","5.0","","","","34","","57",""
