"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-01","1999","01","01","","-20.8","","-24.0","","-22.4","","40.4","","0.0","","","M","","M","","M","","","27","E","72","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-02","1999","01","02","","-1.9","","-24.1","","-13.0","","31.0","","0.0","","","M","","M","","M","","","35","E","78","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-03","1999","01","03","","-5.7","","-13.0","","-9.4","","27.4","","0.0","","","M","","M","","M","","","30","E","39","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-04","1999","01","04","","-0.7","","-13.0","E","-6.9","E","24.9","E","0.0","E","","M","","M","","M","","","13","E","46","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-05","1999","01","05","","-6.1","","-25.3","","-15.7","","33.7","","0.0","","","M","","M","","M","","","27","E","74","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-06","1999","01","06","","-17.8","","-26.2","","-22.0","","40.0","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-07","1999","01","07","","-9.2","","-23.2","E","-16.2","E","34.2","E","0.0","E","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-08","1999","01","08","","-14.2","","-26.8","","-20.5","","38.5","","0.0","","","M","","M","","M","","","26","E","67","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-09","1999","01","09","","-20.4","","-26.8","E","-23.6","E","41.6","E","0.0","E","","M","","M","","M","","","26","E","54","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-10","1999","01","10","","-18.2","","-23.6","","-20.9","","38.9","","0.0","","","M","","M","","M","","","31","E","39","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-11","1999","01","11","","-20.4","","-25.4","","-22.9","","40.9","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-12","1999","01","12","","","M","-23.4","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-13","1999","01","13","","-20.5","","-28.9","","-24.7","","42.7","","0.0","","","M","","M","","M","","","27","E","61","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-14","1999","01","14","","-17.8","","-22.5","","-20.2","","38.2","","0.0","","","M","","M","","M","","","31","E","57","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-15","1999","01","15","","-15.2","","-21.1","","-18.2","","36.2","","0.0","","","M","","M","","M","","","27","E","69","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-16","1999","01","16","","-2.9","","-19.3","E","-11.1","E","29.1","E","0.0","E","","M","","M","","M","","","4","E","67","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-17","1999","01","17","","-3.2","","-6.9","","-5.1","","23.1","","0.0","","","M","","M","","M","","","1","E","46","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-18","1999","01","18","","-7.2","","-16.1","","-11.7","","29.7","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-19","1999","01","19","","-3.0","","-18.9","","-11.0","","29.0","","0.0","","","M","","M","","M","","","13","E","43","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-20","1999","01","20","","-1.4","","-7.5","","-4.5","","22.5","","0.0","","","M","","M","","M","","","33","E","56","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-21","1999","01","21","","-2.9","","-13.3","","-8.1","","26.1","","0.0","","","M","","M","","M","","","34","E","61","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-22","1999","01","22","","-13.5","","-19.9","","-16.7","","34.7","","0.0","","","M","","M","","M","","","29","E","32","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-23","1999","01","23","","-13.8","","-18.6","","-16.2","","34.2","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-24","1999","01","24","","-9.7","","-15.4","","-12.6","","30.6","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-25","1999","01","25","","-2.6","","-10.3","","-6.5","","24.5","","0.0","","","M","","M","","M","","","36","E","72","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-26","1999","01","26","","-10.1","","-21.9","","-16.0","","34.0","","0.0","","","M","","M","","M","","","33","E","59","E"
"-60.22","55.45","HOPEDALE (AUT)","8502400","1999-01-27","1999","01","27","","-17.0","","-20.8","","-18.9","","36.9","","0.0","","","M","","M","","M","","","32","E","33","E"
