"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-53.11","48.67","BONAVISTA","8400601","2010-01-01","2010","01","01","","2.3","","-3.5","","-0.6","","18.6","","0.0","","","M","","M","3.5","","4","","31","","87",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-02","2010","01","02","","2.5","","1.1","","1.8","","16.2","","0.0","","","M","","M","0.0","","2","","8","","54",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-03","2010","01","03","","3.2","","1.3","","2.3","","15.7","","0.0","","","M","","M","16.5","","1","","9","","80",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-04","2010","01","04","","3.6","","1.5","","2.6","","15.4","","0.0","","","M","","M","14.1","","","","4","","82",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-05","2010","01","05","","1.9","","-0.1","","0.9","","17.1","","0.0","","0.0","","","M","17.8","","2","","24","","48",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-06","2010","01","06","","3.7","","-1.3","","1.2","","16.8","","0.0","","","M","","M","0.0","","4","","20","","44",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-07","2010","01","07","","2.1","","-0.5","","0.8","","17.2","","0.0","","","M","","M","0.0","","","","22","","43",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-08","2010","01","08","","3.9","","-0.7","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","20","","33",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-09","2010","01","09","","0.0","","-2.6","","-1.3","","19.3","","0.0","","0.0","","","M","2.1","","","","33","","76",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-10","2010","01","10","","0.0","","-5.5","","-2.8","","20.8","","0.0","","","M","","M","2.4","","4","","32","","95",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-11","2010","01","11","","-3.1","","-7.0","","-5.1","","23.1","","0.0","","","M","","M","0.0","","3","","26","","95",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-12","2010","01","12","","-0.5","","-4.4","","-2.5","","20.5","","0.0","","","M","","M","0.0","","","","25","","72",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-13","2010","01","13","","0.4","","-2.2","","-0.9","","18.9","","0.0","","","M","","M","0.6","","","","36","","65",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-14","2010","01","14","","0.1","","-4.6","","-2.3","","20.3","","0.0","","","M","","M","0.0","","","","36","","78",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-15","2010","01","15","","0.9","","-4.6","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","25","","69",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-16","2010","01","16","","0.4","","-6.6","","-3.1","","21.1","","0.0","","","M","","M","0.6","","1","","29","","70",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-17","2010","01","17","","-5.5","","-12.4","","-9.0","","27.0","","0.0","","","M","","M","1.6","","1","","31","","104",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-18","2010","01","18","","-4.0","","-10.6","","-7.3","","25.3","","0.0","","","M","","M","0.0","","","","30","","69",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-19","2010","01","19","","-2.2","","-4.7","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","33","","59",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-20","2010","01","20","","-2.1","","-5.8","","-4.0","","22.0","","0.0","","","M","","M","0.0","","1","","30","","50",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-21","2010","01","21","","-0.7","","-6.4","","-3.6","","21.6","","0.0","","","M","","M","0.0","","1","","33","","70",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-22","2010","01","22","","-3.1","","-10.2","","-6.7","","24.7","","0.0","","0.0","","","M","0.6","","1","","31","","63",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-23","2010","01","23","","-7.4","","-11.1","","-9.3","","27.3","","0.0","","","M","","M","0.0","","2","","33","","56",""
"-53.11","48.67","BONAVISTA","8400601","2010-01-24","2010","01","24","","-4.6","","-9.3","","-7.0","","25.0","","0.0","","","M","","M","0.0","","3","","32","","69",""
