"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-01","2011","01","01","","-0.7","","-1.5","","-1.1","","19.1","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-02","2011","01","02","","0.8","","-1.1","","-0.2","","18.2","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-03","2011","01","03","","1.0","","-1.3","","-0.2","","18.2","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-04","2011","01","04","","2.1","","-0.2","","1.0","","17.0","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-05","2011","01","05","","2.1","","1.6","","1.9","","16.1","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-06","2011","01","06","","2.0","","-3.0","","-0.5","","18.5","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-07","2011","01","07","","-2.9","","-6.6","","-4.8","","22.8","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-08","2011","01","08","","0.9","","-6.3","","-2.7","","20.7","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-09","2011","01","09","","1.3","","-0.2","","0.6","","17.4","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-10","2011","01","10","","1.2","","-0.3","","0.5","","17.5","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-11","2011","01","11","","0.5","","-1.2","","-0.4","","18.4","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-12","2011","01","12","","0.5","","-1.9","","-0.7","","18.7","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-13","2011","01","13","","-1.1","","-6.0","","-3.6","","21.6","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-14","2011","01","14","","-5.9","","-9.5","","-7.7","","25.7","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-15","2011","01","15","","-7.7","","-13.6","","-10.7","","28.7","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-16","2011","01","16","","-9.9","","-13.1","","-11.5","","29.5","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-17","2011","01","17","","-10.1","","-14.7","","-12.4","","30.4","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-18","2011","01","18","","-13.0","","-19.1","","-16.1","","34.1","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-19","2011","01","19","","-13.5","","-16.5","","-15.0","","33.0","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-20","2011","01","20","","-9.8","","-15.3","","-12.6","","30.6","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-21","2011","01","21","","-3.3","","-10.3","","-6.8","","24.8","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-22","2011","01","22","","-0.8","","-3.8","","-2.3","","20.3","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-23","2011","01","23","","-2.9","","-14.9","","-8.9","","26.9","","0.0","","","M","","M","","M","","","","","<31",""
"-60.22","55.45","HOPEDALE (AUT)","8502400","2011-01-24","2011","01","24","","-3.1","","-14.2","","-8.7","","26.7","","0.0","","","M","","M","","M","","","","","<31",""
