NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
40203,SAINT JOHN - FOREST HILLS,SAINT JOHN,NEW BRUNSWICK,NB,45.308762,-66.008384,1,1980-01-01,
40204,SAINT JOHN - WEST DISTRICT POLICE STATION,SAINT JOHN,NEW BRUNSWICK,NB,45.23474,-66.1376,0,1980-01-01,1983-05-31
40206,SAINT JOHN - CUSTOMS BUILDING,SAINT JOHN,NEW BRUNSWICK,NB,45.269677,-66.06151,0,1991-11-14,2016-03-08
40207,SAINT JOHN - WEST SIDE,SAINT JOHN,NEW BRUNSWICK,NB,45.252898,-66.080065,1,1997-09-16,
40208,SAINT JOHN - CHAMPLAIN HEIGHTS SCHOOL,SAINT JOHN,NEW BRUNSWICK,NB,45.291218,-66.00305,1,2000-07-11,
40209,SAINT JOHN - CASTLE ST.,SAINT JOHN,NEW BRUNSWICK,NB,45.28028,-66.05611,1,2009-01-01,
40302,MONCTON - THANET ST.,MONCTON,NEW BRUNSWICK,NB,46.101578,-64.789661,1,1998-07-17,
40401,HASTINGS TOWER - FUNDY PARK,FUNDY NAT. PARK,NEW BRUNSWICK,NB,45.59222,-64.99444,0,1989-06-09,2015-05-25
40501,POINT LEPREAU - CHARLOTTE COUNTY,POINT LEPREAU,NEW BRUNSWICK,NB,45.073272,-66.449573,0,1986-07-15,2016-10-27
40601,BLISSVILLE - SUNBURY COUNTY,BLISSVILLE - SUNBURY COUNTY,NEW BRUNSWICK,NB,45.605425,-66.559505,0,1987-07-02,2014-04-04
40701,NORTON - KINGS COUNTY,NORTON - KINGS COUNTY,NEW BRUNSWICK,NB,45.64192,-65.70127,0,1989-06-05,2018-01-15
40801,CANTERBURY,DOW SETTLEMENT,NEW BRUNSWICK,NB,45.950069,-67.477738,0,1994-08-01,2014-11-12
40901,ST. ANDREWS - HUNTSMAN MARINE SCIENCES CTR.,ST. ANDREWS,NEW BRUNSWICK,NB,45.086912,-67.074036,1,1995-01-09,
41001,CAMPOBELLO ISLAND,CAMPOBELLO ISLAND,NEW BRUNSWICK,NB,44.87306,-66.95611,0,1995-05-24,2005-09-30
41101,ST. LEONARD - AIRPORT,ST. LEONARD,NEW BRUNSWICK,NB,47.157628,-67.831015,0,2000-05-10,2016-12-23
41201,MIRAMICHI - LOWER NEWCASTLE,MIRAMICHI,NEW BRUNSWICK,NB,47.071087,-65.423534,0,2000-06-01,2018-04-13
41301,BATHURST - HOLY FAMILY CHURCH,BATHURST,NEW BRUNSWICK,NB,47.62889,-65.66333,0,2000-01-01,2002-10-23
41302,BATHURST - ROUGH WATERS DR.,BATHURST,NEW BRUNSWICK,NB,47.609693,-65.633509,1,2005-01-01,
41501,EDMUNDSTON - QUEEN ST.,EDMUNDSTON,NEW BRUNSWICK,NB,47.363195,-68.322302,1,2007-05-18,
41601,MIRAMICHI - GRETNA GREEN DR.,MIRAMICHI,NEW BRUNSWICK,NB,47.025671,-65.520487,1,2020-01-22,
50101,MONTRÉAL - PARC JARRY,MONTRÉAL,QUEBEC,QC,45.53486,-73.63307,0,1974-01-01,1983-11-30
50102,MONTRÉAL - JARDIN BOTANIQUE,MONTRÉAL,QUEBEC,QC,45.56221,-73.571785,0,1974-01-01,2009-01-05
50103,MONTRÉAL - SAINT-JEAN-BAPTISTE,MONTRÉAL,QUEBEC,QC,45.641026,-73.499682,1,1974-01-04,
50104,MONTRÉAL - ONTARIO,MONTRÉAL,QUEBEC,QC,45.52055,-73.563222,0,1974-01-01,2008-09-29
50105,MONTRÉAL - DRUMMOND,MONTRÉAL,QUEBEC,QC,45.497859,-73.573035,0,1974-01-01,2014-12-31
50106,MONTRÉAL - VILLE ST-LAURENT,MONTRÉAL,QUEBEC,QC,45.525,-73.67194,0,1974-02-01,1983-12-31
50107,MONTRÉAL - VILLE LASALLE,MONTRÉAL,QUEBEC,QC,45.46,-73.60556,0,1974-06-04,1980-08-31
50108,LONGUEUIL - BOURASSA,LONGUEUIL,QUEBEC,QC,45.52222,-73.48389,0,1982-01-02,1983-12-31
50109,MONTRÉAL - ÉCHANGEUR DÉCARIE,MONTRÉAL,QUEBEC,QC,45.502648,-73.663913,1,1974-01-01,
50110,MONTRÉAL - PARC-PILON,MONTRÉAL,QUEBEC,QC,45.594576,-73.641535,0,1974-10-23,2013-04-06
50111,LAVAL - DUVERNAY,LAVAL,QUEBEC,QC,45.589722,-73.820833,0,1975-05-01,1981-05-18
50112,LAVAL - PONT VIAU,LAVAL,QUEBEC,QC,45.56,-73.681389,0,1975-09-02,1992-12-31
50113,LAVAL - CHOMEDEY,LAVAL,QUEBEC,QC,45.547463,-73.7483166,1,1976-03-01,
50114,MONTRÉAL - 677 STE-CATHERINE O.,MONTRÉAL,QUEBEC,QC,45.50278,-73.57083,0,1976-01-01,1982-05-31
50115,MONTRÉAL - MAISONNEUVE,MONTRÉAL,QUEBEC,QC,45.501531,-73.574311,0,1977-04-01,2016-01-01
