File generated on // Fichier créé sur, 2023-12-18

Pollutant // Polluant:, PM10
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-01,7,7,11,9,9,10,8,6,7,8,6,5,4,5,6,10,10,10,12,24,11,10,7,8
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-02,10,13,9,12,12,8,6,9,8,11,35,19,22,29,12,22,22,21,16,20,15,14,11,11
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-03,8,7,6,5,5,7,5,3,5,6,5,4,6,16,17,18,10,25,18,15,16,13,13,8
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-04,9,11,9,8,9,9,7,8,11,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-05,-999,5,11,11,10,13,11,11,16,12,13,11,11,15,18,18,13,11,9,10,11,10,7,6
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-06,7,8,7,6,10,9,7,8,7,7,10,8,6,5,8,8,8,7,4,7,10,10,13,15
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-07,16,21,14,9,7,6,5,4,5,4,5,3,7,14,26,37,14,12,20,17,21,23,27,14
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-08,19,14,19,14,20,18,23,21,15,21,24,23,19,21,20,20,16,18,19,19,14,13,13,17
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-09,15,13,15,17,13,13,27,14,12,17,12,11,-999,13,11,8,10,9,12,10,13,11,17,16
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-10,16,13,12,10,12,10,8,13,9,12,15,13,13,13,13,14,13,11,14,14,16,16,12,14
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-11,13,14,12,14,12,16,14,17,14,14,19,18,18,14,15,15,12,15,12,17,15,8,18,11
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-12,9,13,9,5,7,8,9,11,12,22,20,22,11,6,3,8,9,8,5,4,4,6,6,6
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-13,8,10,14,14,15,19,19,22,21,17,16,21,21,20,20,21,18,12,14,12,10,11,16,17
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-14,14,19,12,13,11,10,11,13,20,20,23,16,12,23,19,19,19,17,20,18,19,18,21,22
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-15,20,13,8,4,12,11,8,8,5,6,7,6,7,9,12,10,11,19,20,18,15,8,12,12
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-16,17,14,15,13,16,18,16,13,9,8,5,-999,-999,-999,13,8,6,7,5,3,8,6,1,2
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-17,3,2,3,6,4,3,4,3,3,5,4,3,4,4,5,10,8,8,9,8,10,8,8,10
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-18,8,8,6,3,2,2,2,1,4,4,2,2,6,5,3,5,4,4,5,9,5,9,9,5
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-19,6,6,7,6,5,4,4,5,6,5,7,7,15,8,10,8,7,21,18,15,17,18,21,22
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-20,12,7,7,6,15,23,27,31,36,26,30,25,20,20,15,24,25,19,26,27,30,30,32,29
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-21,27,26,23,24,27,22,21,15,12,14,16,15,13,11,15,11,12,12,15,13,12,15,14,12
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-22,11,13,11,12,12,12,10,18,8,9,9,6,5,3,3,7,7,9,6,7,7,5,3,4
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-23,10,17,42,45,33,11,12,16,16,17,15,13,14,13,12,11,12,10,10,9,8,8,8,12
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-24,13,11,9,6,9,9,9,16,9,11,17,20,18,19,14,31,14,13,12,14,11,10,15,10
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-25,6,4,5,7,6,9,10,8,9,9,11,10,16,22,14,13,11,14,16,16,13,11,15,11
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-26,13,14,19,21,18,22,25,20,26,19,20,18,29,17,19,7,29,27,34,30,32,29,26,22
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-27,25,27,18,17,20,19,15,18,17,22,22,19,35,19,20,44,22,25,21,16,21,25,23,13
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-28,13,13,10,7,5,5,6,8,8,10,17,16,14,14,17,16,13,15,16,13,19,18,21,15
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-29,13,10,14,10,15,10,8,9,12,11,8,15,12,9,8,7,7,6,6,8,8,6,6,6
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-30,6,11,9,8,8,8,8,10,8,17,14,11,26,18,14,14,19,15,13,14,15,15,14,16
PM10,010901,Burin,NL,47.09899,-55.19852,2014-01-31,14,11,13,13,9,13,13,12,12,13,13,14,10,13,15,16,14,13,21,16,18,17,18,17
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-01,18,18,19,19,14,17,13,14,18,13,14,14,10,13,12,13,12,10,9,10,12,9,15,10
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-02,10,9,8,9,8,10,13,15,14,12,10,8,8,7,7,7,14,20,20,24,21,15,11,8
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-03,8,9,11,11,9,11,11,10,12,9,8,9,8,7,4,6,7,8,14,10,11,12,13,14
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-04,12,12,7,9,17,21,20,44,78,21,17,7,5,4,5,8,5,5,9,17,5,4,7,8
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-05,12,10,10,10,10,8,8,7,10,14,16,10,16,11,10,10,8,8,16,12,11,14,12,9
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-06,6,7,7,13,8,4,9,8,6,7,8,6,6,5,9,6,4,6,10,6,6,6,5,10
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-07,11,10,8,7,8,7,6,7,7,13,14,20,29,22,18,22,13,12,9,14,10,10,7,9
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-08,9,9,9,8,9,9,10,12,9,16,17,15,16,27,16,28,23,16,16,12,13,16,17,15
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-09,13,20,9,7,13,13,13,11,12,16,16,21,11,8,24,22,13,9,9,10,11,8,10,9
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-10,9,10,10,9,6,10,11,12,12,11,15,10,24,13,13,13,20,9,8,6,9,11,9,7
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-11,9,9,6,8,8,8,9,11,11,10,8,10,15,14,15,14,13,12,12,15,11,9,11,9
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-12,7,7,10,7,10,8,6,8,8,8,11,9,11,14,9,7,8,9,10,9,19,16,5,8
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-13,8,6,4,8,7,20,9,14,23,22,8,9,9,10,10,13,9,11,12,15,19,12,9,11
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-14,10,13,14,13,13,17,12,8,5,5,10,14,12,13,10,9,8,6,8,14,24,32,32,33
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-15,32,36,45,37,33,29,21,15,16,17,21,15,16,24,12,14,15,12,15,19,17,12,16,10
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-16,10,18,17,16,21,22,23,12,15,11,10,16,8,13,21,45,35,25,25,35,44,39,29,28
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-17,23,19,20,19,20,16,17,13,14,16,13,22,22,18,14,14,13,15,12,14,17,8,10,7
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-18,5,6,8,6,5,10,7,8,9,7,5,6,6,7,8,11,11,12,11,7,8,16,12,9
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-19,10,9,10,11,8,10,12,10,13,11,10,15,13,11,7,6,6,8,18,25,27,19,6,6
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-20,9,8,5,6,6,5,6,11,11,11,10,8,5,7,7,9,10,7,5,7,6,6,7,7
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-21,5,9,12,8,13,10,7,15,11,7,6,8,7,6,6,8,9,10,7,12,8,5,11,9
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-22,7,7,11,12,15,9,8,9,8,7,8,11,16,10,8,6,7,9,9,7,5,6,9,9
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-23,6,7,8,10,11,13,14,16,16,21,20,21,15,18,17,17,14,14,13,16,16,13,13,14
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-24,16,15,15,17,22,22,13,18,22,29,28,27,6,4,3,9,6,7,6,5,6,6,5,5
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-25,3,7,5,5,9,11,9,9,11,12,13,12,12,42,37,27,16,12,12,14,10,12,12,14
PM10,010901,Burin,NL,47.09899,-55.19852,2014-02-26,13,13,12,12,12,13,13,9,17,11,19,-999,35,21,17,17,14,13,25,30,12,12,25,31
