File generated on // Fichier créé sur, 2026-02-27

Pollutant // Polluant:, PM10
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-01,9,8,8,7,7,6,5,4,6,3,4,11,22,15,17,17,19,20,24,26,19,13,9,10
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-02,7,5,5,3,5,5,6,11,15,16,15,16,16,21,26,22,19,18,18,7,4,4,4,2
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-03,2,2,6,2,2,1,2,2,5,8,6,5,6,10,9,9,10,9,12,10,12,11,10,10
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-04,10,12,8,9,9,14,15,21,31,21,13,12,13,13,17,16,13,13,15,12,12,10,11,11
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-05,11,16,15,10,7,7,8,12,19,21,16,16,18,15,16,17,15,16,17,16,17,17,16,13
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-06,12,13,11,13,14,15,16,15,15,15,15,14,17,15,10,3,4,3,3,2,11,18,19,16
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-07,8,8,6,6,5,5,6,8,10,10,9,14,22,30,19,15,14,15,17,19,21,15,16,12
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-08,15,20,19,11,8,36,43,50,36,28,22,18,14,9,8,9,15,16,16,17,19,15,15,16
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-09,16,15,13,13,12,11,10,12,11,13,20,29,35,38,38,43,44,51,20,16,15,15,14,14
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-10,14,8,3,3,6,8,5,5,4,4,3,3,3,3,2,3,3,5,14,17,17,13,14,15
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-11,15,14,13,10,11,15,25,39,54,29,36,36,31,25,21,25,39,55,39,16,14,10,9,7
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-12,7,7,7,9,7,5,5,8,19,7,6,6,16,54,74,51,79,170,157,114,113,57,26,19
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-13,9,8,7,8,8,9,9,11,12,12,13,15,14,12,10,9,11,11,15,11,8,7,4,5
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-14,5,4,3,3,4,2,5,11,22,47,16,12,17,20,20,19,20,23,25,24,25,25,23,25
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-15,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38,39,38,37,41,41,31,23,14,10,9,11,10,9
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-19,9,10,13,14,19,23,25,25,14,15,19,19,20,20,17,15,16,15,12,11,12,13,14,18
PM10,010102,St. John's,NL,47.56038,-52.71147,2022-01-20,21,21,19,18,14,12,14,19,19,23,21,17,20,17,13,9,10,8,4,3,4,3,4,4
