Year,Sectors,Emissions
2013-01-01,Repair and maintenance [FC11000],0.0
2013-01-01,Repair construction [BS23D00],11.0
2013-01-01,Residential building construction [BS23A00],24.0
2013-01-01,Retail trade [BS4A000],227.0
2013-01-01,Rubber product manufacturing [BS32620],32.0
2013-01-01,Seafood product preparation and packaging [BS31170],80.0
2013-01-01,Ship and boat building [BS33660],2.0
2013-01-01,Soft drink and ice manufacturing [BS31211],1.0
2013-01-01,Sugar and confectionery product manufacturing [BS31130],0.0
2013-01-01,Support activities for agriculture and forestry [BS11500],53.0
2013-01-01,Support activities for mining and oil and gas extraction [BS21300],69.0
2013-01-01,Textile and textile product mills [BS31A00],17.0
2013-01-01,Tobacco manufacturing [BS31220],0.0
2013-01-01,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]",84.0
2013-01-01,Transportation engineering construction [BS23C10],14.0
2013-01-01,Transportation margins [FC30000],0.0
2013-01-01,Truck transportation [BS48400],347.0
2013-01-01,Universities [GS61130],29.0
2013-01-01,Warehousing and storage [BS49300],5.0
2013-01-01,Waste management and remediation services [BS56200],41.0
2013-01-01,Water transportation [BS48300],362.0
2013-01-01,Wholesale trade [BS41000],113.0
2013-01-01,Wineries and distilleries [BS3121A],1.0
2013-01-01,Wood product manufacturing [BS32100],127.0
2014-01-01,Accommodation and food services [BS72000],51.0
2014-01-01,Administrative and support services [BS56100],32.0
2014-01-01,"Advertising, promotion, meals, entertainment, and travel [FC20000]",0.0
2014-01-01,"Advertising, public relations and related services [BS54180]",2.0
2014-01-01,Aerospace product and parts manufacturing [BS33640],4.0
2014-01-01,Air transportation [BS48100],348.0
2014-01-01,Animal food manufacturing [BS31110],8.0
2014-01-01,"Arts, entertainment and recreation [BS71000]",2.0
2014-01-01,Balancing item: Aviation,-238.0
2014-01-01,Balancing item: Biomass,-1918.0
2014-01-01,Balancing item: Motor fuels,-229.0
2014-01-01,Balancing item: Non-energy Products from Fuels and Solvent Use,18.0
2014-01-01,Balancing item: Other differences,585.0
2014-01-01,Balancing item: Synthetic fluorinated gases,281.0
2014-01-01,Balancing item: Waste,532.0
2014-01-01,Basic chemical manufacturing [BS32510],6.0
2014-01-01,Breweries [BS31212],2.0
2014-01-01,Cannabis production (licensed) [BS111CL],0.0
2014-01-01,Cannabis production (unlicensed) [BS111CU],3.0
2014-01-01,Cannabis stores (licensed) [BS453BL],0.0
2014-01-01,Cannabis stores (unlicensed) [BS453BU],1.0
2014-01-01,Cement and concrete product manufacturing [BS32730],282.0
2014-01-01,Clothing and leather and allied product manufacturing [BS31B00],1.0
2014-01-01,Coal mining [BS21210],1.0
2014-01-01,Communication engineering construction [BS23C40],2.0
2014-01-01,Computer and peripheral equipment manufacturing [BS33410],0.0
2014-01-01,"Computer systems design and other professional, scientific and technical services [BS541D0]",11.0
2014-01-01,Converted paper product manufacturing [BS32220],12.0
2014-01-01,Crop and animal production (except cannabis) [BS11B00],468.0
2014-01-01,Crop and animal production [BS11A00],0.0
2014-01-01,Dairy product manufacturing [BS31150],4.0
2014-01-01,Depository credit intermediation and monetary authorities [BS52B00],5.0
2014-01-01,Educational services (except universities) [GS611B0],47.0
2014-01-01,Educational services [BS61000],1.0
2014-01-01,Electric power engineering construction [BS23C30],4.0
2014-01-01,"Electric power generation, transmission and distribution [BS22110]",6736.0
2014-01-01,Electrical  equipment and component manufacturing [BS335A0],1.0
2014-01-01,Electronic product manufacturing [BS334B0],2.0
2014-01-01,Fabricated metal product manufacturing [BS33200],13.0
2014-01-01,"Fishing, hunting and trapping [BS11400]",209.0
2014-01-01,Forestry and logging [BS11300],186.0
2014-01-01,Fruit and vegetable preserving and specialty food manufacturing [BS31140],23.0
2014-01-01,Furniture and related product manufacturing [BS33700],2.0
2014-01-01,Health care and social assistance [BS62000],60.0
2014-01-01,Hospitals [GS62200],21.0
2014-01-01,Household appliance manufacturing [BS33520],0.0
2014-01-01,Households: Electricity and other fuels,2049.0
2014-01-01,Households: Motor fuels and lubricants,2156.0
2014-01-01,Insurance carriers [BS52410],2.0
2014-01-01,"Legal, accounting and architectural, engineering and related services [BS541C0]",11.0
2014-01-01,Lessors of real estate [BS53110],65.0
2014-01-01,Machinery manufacturing [BS33300],2.0
2014-01-01,Meat product manufacturing [BS31160],38.0
2014-01-01,Metal ore mining [BS21220],0.0
2014-01-01,Miscellaneous chemical product manufacturing [BS325C0],1.0
2014-01-01,Miscellaneous food manufacturing [BS311A0],15.0
2014-01-01,Miscellaneous manufacturing [BS33900],2.0
2014-01-01,Miscellaneous non-profit institutions serving households [NPA0000],18.0
2014-01-01,Motion picture and sound recording industries [BS51200],4.0
2014-01-01,Motor vehicle body and trailer manufacturing [BS33620],0.0
2014-01-01,Motor vehicle manufacturing [BS33610],1.0
2014-01-01,Motor vehicle parts manufacturing [BS33630],0.0
2014-01-01,"Natural gas distribution, water, sewage and other systems [BS221A0]",2.0
2014-01-01,Non-metallic mineral mining and quarrying [BS21230],28.0
2014-01-01,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0],7.0
