Year,Sectors,Emissions
2016-01-01,Textile and textile product mills [BS31A00],6.0
2016-01-01,Tobacco manufacturing [BS31220],0.0
2016-01-01,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]",94.0
2016-01-01,Transportation engineering construction [BS23C10],20.0
2016-01-01,Transportation margins [FC30000],0.0
2016-01-01,Truck transportation [BS48400],278.0
2016-01-01,Universities [GS61130],33.0
2016-01-01,Warehousing and storage [BS49300],4.0
2016-01-01,Waste management and remediation services [BS56200],40.0
2016-01-01,Water transportation [BS48300],234.0
2016-01-01,Wholesale trade [BS41000],109.0
2016-01-01,Wineries and distilleries [BS3121A],1.0
2016-01-01,Wood product manufacturing [BS32100],176.0
2017-01-01,Accommodation and food services [BS72000],55.0
2017-01-01,Administrative and support services [BS56100],56.0
2017-01-01,"Advertising, promotion, meals, entertainment, and travel [FC20000]",0.0
2017-01-01,"Advertising, public relations and related services [BS54180]",2.0
2017-01-01,Aerospace product and parts manufacturing [BS33640],11.0
2017-01-01,Air transportation [BS48100],235.0
2017-01-01,Animal food manufacturing [BS31110],5.0
2017-01-01,"Arts, entertainment and recreation [BS71000]",1.0
2017-01-01,Balancing item: Aviation,-141.0
2017-01-01,Balancing item: Biomass,-1782.0
2017-01-01,Balancing item: Motor fuels,-329.0
2017-01-01,Balancing item: Non-energy Products from Fuels and Solvent Use,18.0
2017-01-01,Balancing item: Other differences,582.0
2017-01-01,Balancing item: Synthetic fluorinated gases,312.0
2017-01-01,Balancing item: Waste,519.0
2017-01-01,Basic chemical manufacturing [BS32510],4.0
2017-01-01,Breweries [BS31212],6.0
2017-01-01,Cannabis production (licensed) [BS111CL],2.0
2017-01-01,Cannabis production (unlicensed) [BS111CU],4.0
2017-01-01,Cannabis stores (licensed) [BS453BL],0.0
2017-01-01,Cannabis stores (unlicensed) [BS453BU],1.0
2017-01-01,Cement and concrete product manufacturing [BS32730],227.0
2017-01-01,Clothing and leather and allied product manufacturing [BS31B00],2.0
2017-01-01,Coal mining [BS21210],86.0
2017-01-01,Communication engineering construction [BS23C40],5.0
2017-01-01,Computer and peripheral equipment manufacturing [BS33410],0.0
2017-01-01,"Computer systems design and other professional, scientific and technical services [BS541D0]",12.0
2017-01-01,Converted paper product manufacturing [BS32220],18.0
2017-01-01,Crop and animal production (except cannabis) [BS11B00],485.0
2017-01-01,Crop and animal production [BS11A00],0.0
2017-01-01,Dairy product manufacturing [BS31150],6.0
2017-01-01,Depository credit intermediation and monetary authorities [BS52B00],4.0
2017-01-01,Educational services (except universities) [GS611B0],26.0
2017-01-01,Educational services [BS61000],2.0
2017-01-01,Electric power engineering construction [BS23C30],17.0
2017-01-01,"Electric power generation, transmission and distribution [BS22110]",6462.0
2017-01-01,Electrical  equipment and component manufacturing [BS335A0],1.0
2017-01-01,Electronic product manufacturing [BS334B0],1.0
2017-01-01,Fabricated metal product manufacturing [BS33200],13.0
2017-01-01,"Fishing, hunting and trapping [BS11400]",311.0
2017-01-01,Forestry and logging [BS11300],175.0
2017-01-01,Fruit and vegetable preserving and specialty food manufacturing [BS31140],4.0
2017-01-01,Furniture and related product manufacturing [BS33700],4.0
2017-01-01,Health care and social assistance [BS62000],55.0
2017-01-01,Hospitals [GS62200],14.0
2017-01-01,Household appliance manufacturing [BS33520],0.0
2017-01-01,Households: Electricity and other fuels,1879.0
2017-01-01,Households: Motor fuels and lubricants,2688.0
2017-01-01,Insurance carriers [BS52410],2.0
2017-01-01,"Legal, accounting and architectural, engineering and related services [BS541C0]",14.0
2017-01-01,Lessors of real estate [BS53110],39.0
2017-01-01,Machinery manufacturing [BS33300],2.0
2017-01-01,Meat product manufacturing [BS31160],16.0
2017-01-01,Metal ore mining [BS21220],2.0
2017-01-01,Miscellaneous chemical product manufacturing [BS325C0],1.0
2017-01-01,Miscellaneous food manufacturing [BS311A0],15.0
2017-01-01,Miscellaneous manufacturing [BS33900],3.0
2017-01-01,Miscellaneous non-profit institutions serving households [NPA0000],15.0
2017-01-01,Motion picture and sound recording industries [BS51200],7.0
2017-01-01,Motor vehicle body and trailer manufacturing [BS33620],0.0
2017-01-01,Motor vehicle manufacturing [BS33610],0.0
2017-01-01,Motor vehicle parts manufacturing [BS33630],0.0
2017-01-01,"Natural gas distribution, water, sewage and other systems [BS221A0]",3.0
2017-01-01,Non-metallic mineral mining and quarrying [BS21230],25.0
2017-01-01,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0],9.0
2017-01-01,"Non-profit arts, entertainment and recreation [NP71000]",1.0
2017-01-01,Non-profit education services [NP61000],1.0
2017-01-01,Non-profit social assistance [NP62400],1.0
2017-01-01,Non-residential building construction [BS23B00],7.0
2017-01-01,Nursing and residential care facilities [GS62300],3.0
2017-01-01,Office supplies [FC13000],0.0
2017-01-01,Oil and gas engineering construction [BS23C20],0.0
2017-01-01,Oil and gas extraction [BS21100],306.0
2017-01-01,Operating supplies [FC12000],0.0
2017-01-01,Other Indigenous government services [GS91400],8.0
2017-01-01,Other activities of the construction industry [BS23E00],16.0
2017-01-01,Other engineering construction [BS23C50],3.0
2017-01-01,Other federal government services [GS91100],296.0
2017-01-01,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]",49.0
2017-01-01,Other municipal government services [GS91300],106.0
2017-01-01,Other provincial and territorial government services [GS91200],68.0
2017-01-01,Other transportation equipment manufacturing [BS33690],0.0
2017-01-01,Owner-occupied dwellings [BS5311A],0.0
2017-01-01,Personal services and private households [BS81A00],12.0
2017-01-01,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]",4.0
2017-01-01,Petroleum and coal product manufacturing [BS32400],7.0
2017-01-01,Pharmaceutical and medicine manufacturing [BS32540],5.0
2017-01-01,Pipeline transportation [BS48600],1.0
2017-01-01,Plastic product manufacturing [BS32610],24.0
2017-01-01,Postal service and couriers and messengers [BS49A00],36.0
2017-01-01,Primary metal manufacturing [BS33100],0.0
2017-01-01,Printing and related support activities [BS32300],5.0
2017-01-01,Professional and similar organisations [BS81300],0.0
2017-01-01,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]",50.0
2017-01-01,"Pulp, paper and paperboard mills [BS32210]",929.0
2017-01-01,Radio and television broadcasting [BS51510],1.0
2017-01-01,Rail transportation [BS48200],32.0
2017-01-01,Railroad rolling stock manufacturing [BS33650],0.0
2017-01-01,Religious organizations [NP81310],3.0
2017-01-01,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00],31.0
2017-01-01,Repair and maintenance [BS81100],49.0
2017-01-01,Repair and maintenance [FC11000],0.0
2017-01-01,Repair construction [BS23D00],20.0
2017-01-01,Residential building construction [BS23A00],43.0
2017-01-01,Retail trade (except cannabis) [BS4AA00],279.0
2017-01-01,Retail trade [BS4A000],0.0
2017-01-01,Rubber product manufacturing [BS32620],44.0
2017-01-01,Seafood product preparation and packaging [BS31170],38.0
2017-01-01,Ship and boat building [BS33660],6.0
2017-01-01,Soft drink and ice manufacturing [BS31211],1.0
2017-01-01,Sugar and confectionery product manufacturing [BS31130],0.0
2017-01-01,Support activities for agriculture and forestry [BS11500],64.0
2017-01-01,Support activities for mining and oil and gas extraction [BS21300],63.0
2017-01-01,Textile and textile product mills [BS31A00],10.0
2017-01-01,Tobacco manufacturing [BS31220],0.0
2017-01-01,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]",101.0
2017-01-01,Transportation engineering construction [BS23C10],17.0
2017-01-01,Transportation margins [FC30000],0.0
2017-01-01,Truck transportation [BS48400],284.0
2017-01-01,Universities [GS61130],33.0
2017-01-01,Warehousing and storage [BS49300],4.0
2017-01-01,Waste management and remediation services [BS56200],50.0
2017-01-01,Water transportation [BS48300],254.0
2017-01-01,Wholesale trade [BS41000],117.0
2017-01-01,Wineries and distilleries [BS3121A],1.0
2017-01-01,Wood product manufacturing [BS32100],187.0
2018-01-01,Accommodation and food services [BS72000],57.0
2018-01-01,Administrative and support services [BS56100],55.0
2018-01-01,"Advertising, promotion, meals, entertainment, and travel [FC20000]",0.0
2018-01-01,"Advertising, public relations and related services [BS54180]",2.0
2018-01-01,Aerospace product and parts manufacturing [BS33640],6.0
2018-01-01,Air transportation [BS48100],247.0
2018-01-01,Animal food manufacturing [BS31110],7.0
2018-01-01,"Arts, entertainment and recreation [BS71000]",1.0
2018-01-01,Balancing item: Aviation,-139.0
2018-01-01,Balancing item: Biomass,-1721.0
2018-01-01,Balancing item: Motor fuels,-377.0
2018-01-01,Balancing item: Non-energy Products from Fuels and Solvent Use,25.0
2018-01-01,Balancing item: Other differences,623.0
2018-01-01,Balancing item: Synthetic fluorinated gases,324.0
2018-01-01,Balancing item: Waste,527.0
2018-01-01,Basic chemical manufacturing [BS32510],3.0
2018-01-01,Breweries [BS31212],8.0
2018-01-01,Cannabis production (licensed) [BS111CL],8.0
2018-01-01,Cannabis production (unlicensed) [BS111CU],3.0
2018-01-01,Cannabis stores (licensed) [BS453BL],0.0
2018-01-01,Cannabis stores (unlicensed) [BS453BU],1.0
2018-01-01,Cement and concrete product manufacturing [BS32730],220.0
2018-01-01,Clothing and leather and allied product manufacturing [BS31B00],3.0
2018-01-01,Coal mining [BS21210],205.0
2018-01-01,Communication engineering construction [BS23C40],7.0
2018-01-01,Computer and peripheral equipment manufacturing [BS33410],0.0
2018-01-01,"Computer systems design and other professional, scientific and technical services [BS541D0]",13.0
2018-01-01,Converted paper product manufacturing [BS32220],15.0
2018-01-01,Crop and animal production (except cannabis) [BS11B00],484.0
2018-01-01,Crop and animal production [BS11A00],0.0
2018-01-01,Dairy product manufacturing [BS31150],9.0
2018-01-01,Depository credit intermediation and monetary authorities [BS52B00],4.0
2018-01-01,Educational services (except universities) [GS611B0],21.0
2018-01-01,Educational services [BS61000],2.0
2018-01-01,Electric power engineering construction [BS23C30],6.0
2018-01-01,"Electric power generation, transmission and distribution [BS22110]",6769.0
2018-01-01,Electrical  equipment and component manufacturing [BS335A0],5.0
2018-01-01,Electronic product manufacturing [BS334B0],1.0
2018-01-01,Fabricated metal product manufacturing [BS33200],31.0
2018-01-01,"Fishing, hunting and trapping [BS11400]",325.0
2018-01-01,Forestry and logging [BS11300],173.0
2018-01-01,Fruit and vegetable preserving and specialty food manufacturing [BS31140],4.0
2018-01-01,Furniture and related product manufacturing [BS33700],5.0
2018-01-01,Health care and social assistance [BS62000],49.0
2018-01-01,Hospitals [GS62200],11.0
2018-01-01,Household appliance manufacturing [BS33520],0.0
2018-01-01,Households: Electricity and other fuels,1953.0
2018-01-01,Households: Motor fuels and lubricants,2763.0
2018-01-01,Insurance carriers [BS52410],2.0
2018-01-01,"Legal, accounting and architectural, engineering and related services [BS541C0]",15.0
2018-01-01,Lessors of real estate [BS53110],26.0
2018-01-01,Machinery manufacturing [BS33300],3.0
2018-01-01,Meat product manufacturing [BS31160],37.0
2018-01-01,Metal ore mining [BS21220],10.0
2018-01-01,Miscellaneous chemical product manufacturing [BS325C0],2.0
2018-01-01,Miscellaneous food manufacturing [BS311A0],19.0
2018-01-01,Miscellaneous manufacturing [BS33900],7.0
2018-01-01,Miscellaneous non-profit institutions serving households [NPA0000],13.0
2018-01-01,Motion picture and sound recording industries [BS51200],6.0
2018-01-01,Motor vehicle body and trailer manufacturing [BS33620],1.0
2018-01-01,Motor vehicle manufacturing [BS33610],0.0
2018-01-01,Motor vehicle parts manufacturing [BS33630],0.0
2018-01-01,"Natural gas distribution, water, sewage and other systems [BS221A0]",7.0
2018-01-01,Non-metallic mineral mining and quarrying [BS21230],26.0
2018-01-01,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0],11.0
2018-01-01,"Non-profit arts, entertainment and recreation [NP71000]",1.0
2018-01-01,Non-profit education services [NP61000],0.0
2018-01-01,Non-profit social assistance [NP62400],1.0
2018-01-01,Non-residential building construction [BS23B00],9.0
2018-01-01,Nursing and residential care facilities [GS62300],2.0
2018-01-01,Office supplies [FC13000],0.0
2018-01-01,Oil and gas engineering construction [BS23C20],0.0
2018-01-01,Oil and gas extraction [BS21100],218.0
2018-01-01,Operating supplies [FC12000],0.0
2018-01-01,Other Indigenous government services [GS91400],11.0
2018-01-01,Other activities of the construction industry [BS23E00],19.0
2018-01-01,Other engineering construction [BS23C50],2.0
2018-01-01,Other federal government services [GS91100],299.0
2018-01-01,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]",45.0
2018-01-01,Other municipal government services [GS91300],106.0
2018-01-01,Other provincial and territorial government services [GS91200],65.0
2018-01-01,Other transportation equipment manufacturing [BS33690],0.0
2018-01-01,Owner-occupied dwellings [BS5311A],0.0
2018-01-01,Personal services and private households [BS81A00],10.0
2018-01-01,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]",5.0
2018-01-01,Petroleum and coal product manufacturing [BS32400],11.0
2018-01-01,Pharmaceutical and medicine manufacturing [BS32540],2.0
2018-01-01,Pipeline transportation [BS48600],1.0
2018-01-01,Plastic product manufacturing [BS32610],41.0
2018-01-01,Postal service and couriers and messengers [BS49A00],36.0
2018-01-01,Primary metal manufacturing [BS33100],0.0
2018-01-01,Printing and related support activities [BS32300],2.0
2018-01-01,Professional and similar organisations [BS81300],0.0
2018-01-01,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]",33.0
2018-01-01,"Pulp, paper and paperboard mills [BS32210]",918.0
2018-01-01,Radio and television broadcasting [BS51510],0.0
2018-01-01,Rail transportation [BS48200],31.0
2018-01-01,Railroad rolling stock manufacturing [BS33650],0.0
2018-01-01,Religious organizations [NP81310],3.0
2018-01-01,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00],32.0
2018-01-01,Repair and maintenance [BS81100],58.0
2018-01-01,Repair and maintenance [FC11000],0.0
2018-01-01,Repair construction [BS23D00],25.0
2018-01-01,Residential building construction [BS23A00],54.0
2018-01-01,Retail trade (except cannabis) [BS4AA00],306.0
2018-01-01,Retail trade [BS4A000],0.0
2018-01-01,Rubber product manufacturing [BS32620],80.0
2018-01-01,Seafood product preparation and packaging [BS31170],42.0
2018-01-01,Ship and boat building [BS33660],8.0
2018-01-01,Soft drink and ice manufacturing [BS31211],3.0
2018-01-01,Sugar and confectionery product manufacturing [BS31130],0.0
2018-01-01,Support activities for agriculture and forestry [BS11500],64.0
2018-01-01,Support activities for mining and oil and gas extraction [BS21300],41.0
2018-01-01,Textile and textile product mills [BS31A00],4.0
2018-01-01,Tobacco manufacturing [BS31220],0.0
2018-01-01,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]",82.0
2018-01-01,Transportation engineering construction [BS23C10],16.0
2018-01-01,Transportation margins [FC30000],0.0
2018-01-01,Truck transportation [BS48400],285.0
2018-01-01,Universities [GS61130],37.0
2018-01-01,Warehousing and storage [BS49300],5.0
2018-01-01,Waste management and remediation services [BS56200],60.0
2018-01-01,Water transportation [BS48300],281.0
2018-01-01,Wholesale trade [BS41000],122.0
2018-01-01,Wineries and distilleries [BS3121A],2.0
2018-01-01,Wood product manufacturing [BS32100],146.0
2019-01-01,Accommodation and food services [BS72000],56.0
2019-01-01,Administrative and support services [BS56100],48.0
2019-01-01,"Advertising, promotion, meals, entertainment, and travel [FC20000]",0.0
2019-01-01,"Advertising, public relations and related services [BS54180]",2.0
2019-01-01,Aerospace product and parts manufacturing [BS33640],7.0
2019-01-01,Air transportation [BS48100],263.0
2019-01-01,Animal food manufacturing [BS31110],9.0
2019-01-01,"Arts, entertainment and recreation [BS71000]",1.0
2019-01-01,Balancing item: Aviation,-160.0
2019-01-01,Balancing item: Biomass,-1504.0
2019-01-01,Balancing item: Motor fuels,-390.0
2019-01-01,Balancing item: Non-energy Products from Fuels and Solvent Use,23.0
2019-01-01,Balancing item: Other differences,522.0
2019-01-01,Balancing item: Synthetic fluorinated gases,301.0
2019-01-01,Balancing item: Waste,551.0
2019-01-01,Basic chemical manufacturing [BS32510],7.0
2019-01-01,Breweries [BS31212],11.0
2019-01-01,Cannabis production (licensed) [BS111CL],7.0
2019-01-01,Cannabis production (unlicensed) [BS111CU],2.0
2019-01-01,Cannabis stores (licensed) [BS453BL],1.0
2019-01-01,Cannabis stores (unlicensed) [BS453BU],1.0
2019-01-01,Cement and concrete product manufacturing [BS32730],170.0
2019-01-01,Clothing and leather and allied product manufacturing [BS31B00],3.0
2019-01-01,Coal mining [BS21210],204.0
2019-01-01,Communication engineering construction [BS23C40],4.0
2019-01-01,Computer and peripheral equipment manufacturing [BS33410],0.0
2019-01-01,"Computer systems design and other professional, scientific and technical services [BS541D0]",13.0
2019-01-01,Converted paper product manufacturing [BS32220],14.0
2019-01-01,Crop and animal production (except cannabis) [BS11B00],448.0
2019-01-01,Crop and animal production [BS11A00],0.0
2019-01-01,Dairy product manufacturing [BS31150],10.0
2019-01-01,Depository credit intermediation and monetary authorities [BS52B00],4.0
2019-01-01,Educational services (except universities) [GS611B0],21.0
2019-01-01,Educational services [BS61000],1.0
2019-01-01,Electric power engineering construction [BS23C30],5.0
2019-01-01,"Electric power generation, transmission and distribution [BS22110]",6510.0
2019-01-01,Electrical  equipment and component manufacturing [BS335A0],7.0
2019-01-01,Electronic product manufacturing [BS334B0],2.0
2019-01-01,Fabricated metal product manufacturing [BS33200],36.0
2019-01-01,"Fishing, hunting and trapping [BS11400]",349.0
2019-01-01,Forestry and logging [BS11300],141.0
2019-01-01,Fruit and vegetable preserving and specialty food manufacturing [BS31140],5.0
2019-01-01,Furniture and related product manufacturing [BS33700],5.0
2019-01-01,Health care and social assistance [BS62000],44.0
2019-01-01,Hospitals [GS62200],11.0
2019-01-01,Household appliance manufacturing [BS33520],0.0
2019-01-01,Households: Electricity and other fuels,1852.0
2019-01-01,Households: Motor fuels and lubricants,2748.0
2019-01-01,Insurance carriers [BS52410],2.0
2019-01-01,"Legal, accounting and architectural, engineering and related services [BS541C0]",15.0
2019-01-01,Lessors of real estate [BS53110],28.0
2019-01-01,Machinery manufacturing [BS33300],4.0
2019-01-01,Meat product manufacturing [BS31160],31.0
2019-01-01,Metal ore mining [BS21220],12.0
2019-01-01,Miscellaneous chemical product manufacturing [BS325C0],2.0
2019-01-01,Miscellaneous food manufacturing [BS311A0],19.0
2019-01-01,Miscellaneous manufacturing [BS33900],7.0
2019-01-01,Miscellaneous non-profit institutions serving households [NPA0000],14.0
2019-01-01,Motion picture and sound recording industries [BS51200],6.0
2019-01-01,Motor vehicle body and trailer manufacturing [BS33620],0.0
2019-01-01,Motor vehicle manufacturing [BS33610],0.0
2019-01-01,Motor vehicle parts manufacturing [BS33630],0.0
2019-01-01,"Natural gas distribution, water, sewage and other systems [BS221A0]",8.0
2019-01-01,Non-metallic mineral mining and quarrying [BS21230],28.0
2019-01-01,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0],8.0
2019-01-01,"Non-profit arts, entertainment and recreation [NP71000]",1.0
2019-01-01,Non-profit education services [NP61000],0.0
2019-01-01,Non-profit social assistance [NP62400],1.0
2019-01-01,Non-residential building construction [BS23B00],8.0
2019-01-01,Nursing and residential care facilities [GS62300],2.0
2019-01-01,Office supplies [FC13000],0.0
2019-01-01,Oil and gas engineering construction [BS23C20],0.0
2019-01-01,Oil and gas extraction [BS21100],13.0
2019-01-01,Operating supplies [FC12000],0.0
2019-01-01,Other Indigenous government services [GS91400],8.0
2019-01-01,Other activities of the construction industry [BS23E00],18.0
2019-01-01,Other engineering construction [BS23C50],2.0
2019-01-01,Other federal government services [GS91100],286.0
2019-01-01,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]",46.0
2019-01-01,Other municipal government services [GS91300],105.0
2019-01-01,Other provincial and territorial government services [GS91200],61.0
2019-01-01,Other transportation equipment manufacturing [BS33690],0.0
2019-01-01,Owner-occupied dwellings [BS5311A],0.0
2019-01-01,Personal services and private households [BS81A00],9.0
2019-01-01,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]",5.0
2019-01-01,Petroleum and coal product manufacturing [BS32400],7.0
2019-01-01,Pharmaceutical and medicine manufacturing [BS32540],3.0
2019-01-01,Pipeline transportation [BS48600],2.0
2019-01-01,Plastic product manufacturing [BS32610],28.0
2019-01-01,Postal service and couriers and messengers [BS49A00],34.0
2019-01-01,Primary metal manufacturing [BS33100],0.0
2019-01-01,Printing and related support activities [BS32300],2.0
2019-01-01,Professional and similar organisations [BS81300],0.0
2019-01-01,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]",21.0
2019-01-01,"Pulp, paper and paperboard mills [BS32210]",819.0
2019-01-01,Radio and television broadcasting [BS51510],0.0
2019-01-01,Rail transportation [BS48200],25.0
2019-01-01,Railroad rolling stock manufacturing [BS33650],0.0
2019-01-01,Religious organizations [NP81310],3.0
2019-01-01,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00],27.0
2019-01-01,Repair and maintenance [BS81100],57.0
2019-01-01,Repair and maintenance [FC11000],0.0
2019-01-01,Repair construction [BS23D00],20.0
2019-01-01,Residential building construction [BS23A00],52.0
2019-01-01,Retail trade (except cannabis) [BS4AA00],298.0
2019-01-01,Retail trade [BS4A000],0.0
2019-01-01,Rubber product manufacturing [BS32620],70.0
2019-01-01,Seafood product preparation and packaging [BS31170],47.0
2019-01-01,Ship and boat building [BS33660],9.0
2019-01-01,Soft drink and ice manufacturing [BS31211],2.0
2019-01-01,Sugar and confectionery product manufacturing [BS31130],0.0
2019-01-01,Support activities for agriculture and forestry [BS11500],66.0
2019-01-01,Support activities for mining and oil and gas extraction [BS21300],52.0
2019-01-01,Textile and textile product mills [BS31A00],3.0
2019-01-01,Tobacco manufacturing [BS31220],0.0
2019-01-01,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]",85.0
2019-01-01,Transportation engineering construction [BS23C10],17.0
2019-01-01,Transportation margins [FC30000],0.0
2019-01-01,Truck transportation [BS48400],265.0
2019-01-01,Universities [GS61130],34.0
2019-01-01,Warehousing and storage [BS49300],5.0
2019-01-01,Waste management and remediation services [BS56200],54.0
2019-01-01,Water transportation [BS48300],302.0
2019-01-01,Wholesale trade [BS41000],112.0
2019-01-01,Wineries and distilleries [BS3121A],2.0
2019-01-01,Wood product manufacturing [BS32100],143.0
2020-01-01,Accommodation and food services [BS72000],53.0
2020-01-01,Administrative and support services [BS56100],43.0
2020-01-01,"Advertising, promotion, meals, entertainment, and travel [FC20000]",0.0
2020-01-01,"Advertising, public relations and related services [BS54180]",1.0
2020-01-01,Aerospace product and parts manufacturing [BS33640],14.0
2020-01-01,Air transportation [BS48100],144.0
2020-01-01,Animal food manufacturing [BS31110],4.0
2020-01-01,"Arts, entertainment and recreation [BS71000]",1.0
2020-01-01,Balancing item: Aviation,-142.0
2020-01-01,Balancing item: Biomass,-586.0
2020-01-01,Balancing item: Motor fuels,-290.0
2020-01-01,Balancing item: Non-energy Products from Fuels and Solvent Use,24.0
2020-01-01,Balancing item: Other differences,441.0
2020-01-01,Balancing item: Synthetic fluorinated gases,294.0
2020-01-01,Balancing item: Waste,571.0
2020-01-01,Basic chemical manufacturing [BS32510],28.0
2020-01-01,Breweries [BS31212],7.0
2020-01-01,Cannabis production (licensed) [BS111CL],21.0
2020-01-01,Cannabis production (unlicensed) [BS111CU],2.0
2020-01-01,Cannabis stores (licensed) [BS453BL],2.0
2020-01-01,Cannabis stores (unlicensed) [BS453BU],1.0
2020-01-01,Cement and concrete product manufacturing [BS32730],192.0
2020-01-01,Clothing and leather and allied product manufacturing [BS31B00],1.0
2020-01-01,Coal mining [BS21210],140.0
2020-01-01,Communication engineering construction [BS23C40],6.0
2020-01-01,Computer and peripheral equipment manufacturing [BS33410],0.0
2020-01-01,"Computer systems design and other professional, scientific and technical services [BS541D0]",10.0
2020-01-01,Converted paper product manufacturing [BS32220],15.0
2020-01-01,Crop and animal production (except cannabis) [BS11B00],474.0
2020-01-01,Crop and animal production [BS11A00],0.0
2020-01-01,Dairy product manufacturing [BS31150],7.0
2020-01-01,Depository credit intermediation and monetary authorities [BS52B00],3.0
2020-01-01,Educational services (except universities) [GS611B0],24.0
2020-01-01,Educational services [BS61000],2.0
2020-01-01,Electric power engineering construction [BS23C30],3.0
2020-01-01,"Electric power generation, transmission and distribution [BS22110]",6142.0
2020-01-01,Electrical  equipment and component manufacturing [BS335A0],1.0
2020-01-01,Electronic product manufacturing [BS334B0],1.0
2020-01-01,Fabricated metal product manufacturing [BS33200],13.0
2020-01-01,"Fishing, hunting and trapping [BS11400]",320.0
2020-01-01,Forestry and logging [BS11300],89.0
2020-01-01,Fruit and vegetable preserving and specialty food manufacturing [BS31140],6.0
2020-01-01,Furniture and related product manufacturing [BS33700],2.0
2020-01-01,Health care and social assistance [BS62000],48.0
2020-01-01,Hospitals [GS62200],9.0
2020-01-01,Household appliance manufacturing [BS33520],0.0
2020-01-01,Households: Electricity and other fuels,1633.0
2020-01-01,Households: Motor fuels and lubricants,2218.0
2020-01-01,Insurance carriers [BS52410],1.0
2020-01-01,"Legal, accounting and architectural, engineering and related services [BS541C0]",11.0
2020-01-01,Lessors of real estate [BS53110],36.0
2020-01-01,Machinery manufacturing [BS33300],3.0
2020-01-01,Meat product manufacturing [BS31160],6.0
2020-01-01,Metal ore mining [BS21220],12.0
2020-01-01,Miscellaneous chemical product manufacturing [BS325C0],2.0
2020-01-01,Miscellaneous food manufacturing [BS311A0],15.0
2020-01-01,Miscellaneous manufacturing [BS33900],3.0
2020-01-01,Miscellaneous non-profit institutions serving households [NPA0000],16.0
2020-01-01,Motion picture and sound recording industries [BS51200],7.0
2020-01-01,Motor vehicle body and trailer manufacturing [BS33620],0.0
2020-01-01,Motor vehicle manufacturing [BS33610],1.0
2020-01-01,Motor vehicle parts manufacturing [BS33630],0.0
2020-01-01,"Natural gas distribution, water, sewage and other systems [BS221A0]",4.0
2020-01-01,Non-metallic mineral mining and quarrying [BS21230],26.0
2020-01-01,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0],7.0
2020-01-01,"Non-profit arts, entertainment and recreation [NP71000]",1.0
2020-01-01,Non-profit education services [NP61000],1.0
2020-01-01,Non-profit social assistance [NP62400],2.0
2020-01-01,Non-residential building construction [BS23B00],6.0
2020-01-01,Nursing and residential care facilities [GS62300],3.0
2020-01-01,Office supplies [FC13000],0.0
2020-01-01,Oil and gas engineering construction [BS23C20],1.0
2020-01-01,Oil and gas extraction [BS21100],10.0
2020-01-01,Operating supplies [FC12000],0.0
2020-01-01,Other Indigenous government services [GS91400],11.0
2020-01-01,Other activities of the construction industry [BS23E00],15.0
2020-01-01,Other engineering construction [BS23C50],2.0
2020-01-01,Other federal government services [GS91100],230.0
2020-01-01,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]",71.0
2020-01-01,Other municipal government services [GS91300],132.0
2020-01-01,Other provincial and territorial government services [GS91200],122.0
2020-01-01,Other transportation equipment manufacturing [BS33690],0.0
2020-01-01,Owner-occupied dwellings [BS5311A],0.0
2020-01-01,Personal services and private households [BS81A00],9.0
2020-01-01,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]",5.0
2020-01-01,Petroleum and coal product manufacturing [BS32400],6.0
2020-01-01,Pharmaceutical and medicine manufacturing [BS32540],4.0
2020-01-01,Pipeline transportation [BS48600],2.0
2020-01-01,Plastic product manufacturing [BS32610],13.0
2020-01-01,Postal service and couriers and messengers [BS49A00],46.0
2020-01-01,Primary metal manufacturing [BS33100],0.0
2020-01-01,Printing and related support activities [BS32300],1.0
2020-01-01,Professional and similar organisations [BS81300],0.0
2020-01-01,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]",12.0
2020-01-01,"Pulp, paper and paperboard mills [BS32210]",1.0
2020-01-01,Radio and television broadcasting [BS51510],1.0
