REF_DATE,GEO,DGUID,Sector,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,0s,,,0
2014,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,0s,,,0
2015,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,0s,,,0
2016,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,0s,,,0
2017,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,0s,,,0
2018,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,0s,,,0
2019,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,0s,,,0
2020,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,0s,,,0
2021,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,0s,,,0
2022,Manitoba,2021A000246,Computer and peripheral equipment manufacturing [BS33410],Kilotonnes,198,units,0,v1013974102,8.53,,..,,,0
2013,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,1,,,,0
2014,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,1,,,,0
2015,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,2,,,,0
2016,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,3,,,,0
2017,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,2,,,,0
2018,Manitoba,2021A000246,Electronic product manufacturing [BS334B0],Kilotonnes,198,units,0,v1013974103,8.54,1,,,,0
