"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-51256","","","","0"
"2018","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-50708","","","","0"
"2019","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-46797","","","","0"
"2020","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-27718","","","","0"
"2021","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-32295","","","","0"
"2022","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-38409","","","","0"
"2023","Canada","2021A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-37394","","","","0"
"2013","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","9034","","","","0"
"2014","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10051","","","","0"
"2015","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10703","","","","0"
"2016","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10913","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10664","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10350","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10285","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","8354","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","7367","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","7643","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","7514","","","","0"
"2013","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","6843","","","","0"
"2014","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7590","","","","0"
"2015","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","8349","","","","0"
"2016","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","8537","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","8029","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7912","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7928","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","6334","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","5467","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","5666","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","5632","","","","0"
"2013","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2191","","","","0"
"2014","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2461","","","","0"
"2015","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2354","","","","0"
"2016","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2376","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2635","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2438","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2357","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2021","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","1900","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","1977","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","1881","","","","0"
"2013","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","9799","","","","0"
"2014","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","10790","","","","0"
"2015","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","10967","","","","0"
"2016","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","11020","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","10926","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","10682","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","10845","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","8603","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","7981","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","8058","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","7922","","","","0"
"2013","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","765","","","","0"
"2014","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","739","","","","0"
"2015","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","264","","","","0"
"2016","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","107","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","262","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","332","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","560","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","249","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","615","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","415","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","408","","","","0"
"2013","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1574","","","","0"
"2014","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1552","","","","0"
"2015","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1499","","","","0"
"2016","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1590","","","","0"
"2017","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1635","","","","0"
"2018","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1622","","","","0"
"2019","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1656","","","","0"
"2020","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1599","","","","0"
"2021","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1608","","","","0"
"2022","Prince Edward Island","2021A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1583","","","","0"
