Station ID,Latitude,Longitude,CDUID,CDNAME,PRUID,PRNAME
8401295,49.32,-57.39,1005,Division No.  5,10,Newfoundland and Labrador
8401300,48.95,-57.95,1005,Division No.  5,10,Newfoundland and Labrador
8401298,48.93,-57.92,1005,Division No.  5,10,Newfoundland and Labrador
8401405,50.24,-57.58,1009,Division No.  9,10,Newfoundland and Labrador
8201390,45.42,-63.47,1210,Colchester,12,Nova Scotia
8401500,49.17,-57.43,1005,Division No.  5,10,Newfoundland and Labrador
8401502,49.21,-57.39,1005,Division No.  5,10,Newfoundland and Labrador
8101201,46.59,-66.01,1309,Northumberland,13,New Brunswick
8300418,46.46,-61.99,1101,Kings,11,Prince Edward Island
8101303,47.42,-68.32,1313,Madawaska,13,New Brunswick
8401538,50.72,-56.11,1009,Division No.  9,10,Newfoundland and Labrador
8201780,45.92,-60.65,1217,Cape Breton,12,Nova Scotia
8401565,51.02,-57.1,1009,Division No.  9,10,Newfoundland and Labrador
8101605,45.92,-66.61,1310,York,13,New Brunswick
8101505,45.87,-66.54,1303,Sunbury,13,New Brunswick
8101746,45.6,-64.95,1306,Albert,13,New Brunswick
8101792,45.83,-66.43,1303,Sunbury,13,New Brunswick
8401705,48.95,-54.57,1006,Division No.  6,10,Newfoundland and Labrador
8401703,48.94,-54.57,1006,Division No.  6,10,Newfoundland and Labrador
8104905,45.29,-65.81,1301,Saint John,13,New Brunswick
8501900,53.32,-60.42,1010,Division No. 10,10,Newfoundland and Labrador
8201969,46.55,-61.04,1215,Inverness,12,Nova Scotia
8101925,44.71,-66.8,1302,Charlotte,13,New Brunswick
840B053,48.17,-52.94,1001,Division No.  1,10,Newfoundland and Labrador
8202000,44.98,-64.92,1207,Kings,12,Nova Scotia
8202240,44.66,-63.58,1209,Halifax,12,Nova Scotia
8202252,44.59,-63.55,1209,Halifax,12,Nova Scotia
8202251,44.88,-63.51,1209,Halifax,12,Nova Scotia
8202249,44.88,-63.51,1209,Halifax,12,Nova Scotia
8202255,44.66,-63.61,1209,Halifax,12,Nova Scotia
8501915,53.41,-60.56,1010,Division No. 10,10,Newfoundland and Labrador
830P001,46.34,-63.17,1102,Queens,11,Prince Edward Island
8202318,45.35,-60.98,1213,Guysborough,12,Nova Scotia
8502400,55.45,-60.22,1011,Division No. 11,10,Newfoundland and Labrador
8202502,46.66,-60.41,1218,Victoria,12,Nova Scotia
8202592,44.4,-65.2,1204,Queens,12,Nova Scotia
8202810,45.07,-64.48,1207,Kings,12,Nova Scotia
8102326,46.79,-65.01,1308,Kent,13,New Brunswick
8402520,49.92,-55.67,1008,Division No.  8,10,Newfoundland and Labrador
8202896,44.72,-63.48,1209,Halifax,12,Nova Scotia
8402544,48.35,-53.9,1007,Division No.  7,10,Newfoundland and Labrador
8203163,45.92,-59.97,1217,Cape Breton,12,Nova Scotia
8203210,44.36,-64.3,1206,Lunenburg,12,Nova Scotia
8102536,45.95,-66.9,1310,York,13,New Brunswick
8502580,55.08,-59.19,1011,Division No. 11,10,Newfoundland and Labrador
8203405,44.98,-62.48,1209,Halifax,12,Nova Scotia
8305500,46.3,-63.58,1103,Prince,11,Prince Edward Island
840KN90,47.33,-54.59,1002,Division No.  2,10,Newfoundland and Labrador
8502592,52.3,-55.85,1010,Division No. 10,10,Newfoundland and Labrador
8203478,44.6,-63.53,1209,Halifax,12,Nova Scotia
8102848,45.69,-65.17,1305,Kings,13,New Brunswick
8402757,48.82,-56.54,1006,Division No.  6,10,Newfoundland and Labrador
8100989,47.01,-65.47,1309,Northumberland,13,New Brunswick
8103050,48.01,-64.49,1315,Gloucester,13,New Brunswick
8103202,46.11,-64.68,1307,Westmorland,13,New Brunswick
8103201,46.11,-64.68,1307,Westmorland,13,New Brunswick
8502799,56.55,-61.68,1011,Division No. 11,10,Newfoundland and Labrador
8502801,56.55,-61.68,1011,Division No. 11,10,Newfoundland and Labrador
8502810,56.55,-61.68,1011,Division No. 11,10,Newfoundland and Labrador
8203702,45.76,-64.24,1211,Cumberland,12,Nova Scotia
8300516,47.06,-64.0,1103,Prince,11,Prince Edward Island
8204161,46.82,-60.67,1215,Inverness,12,Nova Scotia
8204154,46.37,-60.98,1215,Inverness,12,Nova Scotia
8103780,45.51,-66.1,1305,Kings,13,New Brunswick
8204190,44.61,-63.42,1209,Halifax,12,Nova Scotia
8204402,45.41,-64.35,1211,Cumberland,12,Nova Scotia
8204453,44.77,-63.83,1209,Halifax,12,Nova Scotia
8104201,45.07,-66.45,1301,Saint John,13,New Brunswick
840BR7C,49.11,-53.58,1007,Division No.  7,10,Newfoundland and Labrador
8402980,47.57,-59.15,1003,Division No.  3,10,Newfoundland and Labrador
8204495,45.66,-61.37,1215,Inverness,12,Nova Scotia
8104295,47.44,-65.6,1315,Gloucester,13,New Brunswick
8204708,43.93,-60.01,1209,Halifax,12,Nova Scotia
8204703,43.93,-59.96,1209,Halifax,12,Nova Scotia
8503249,58.48,-62.59,1011,Division No. 11,10,Newfoundland and Labrador
8403255,47.37,-55.79,1003,Division No.  3,10,Newfoundland and Labrador
8104901,45.32,-65.89,1301,Saint John,13,New Brunswick
8205090,44.63,-63.5,1209,Halifax,12,Nova Scotia
8205093,44.63,-63.52,1209,Halifax,12,Nova Scotia
8205092,44.63,-63.51,1209,Halifax,12,Nova Scotia
8205130,43.7,-65.32,1201,Shelburne,12,Nova Scotia
8400416,47.86,-55.86,1003,Division No.  3,10,Newfoundland and Labrador
8403399,51.38,-56.1,1009,Division No.  9,10,Newfoundland and Labrador
8403603,47.51,-52.78,1001,Division No.  1,10,Newfoundland and Labrador
8403619,46.92,-55.38,1002,Division No.  2,10,Newfoundland and Labrador
8204909,47.23,-60.14,1218,Victoria,12,Nova Scotia
8403389,51.39,-56.07,1009,Division No.  9,10,Newfoundland and Labrador
8403505,47.62,-52.75,1001,Division No.  1,10,Newfoundland and Labrador
8300562,46.45,-62.58,1101,Kings,11,Prince Edward Island
8104935,45.21,-67.25,1302,Charlotte,13,New Brunswick
8300590,46.42,-63.08,1102,Queens,11,Prince Edward Island
8403801,48.54,-58.55,1004,Division No.  4,10,Newfoundland and Labrador
8403820,48.56,-58.57,1004,Division No.  4,10,Newfoundland and Labrador
8300596,46.44,-63.84,1103,Prince,11,Prince Edward Island
8105210,45.74,-65.53,1305,Kings,13,New Brunswick
8205701,46.16,-60.05,1217,Cape Breton,12,Nova Scotia
8205703,46.16,-60.05,1217,Cape Breton,12,Nova Scotia
8205702,46.16,-60.04,1217,Cape Breton,12,Nova Scotia
8403851,48.56,-53.97,1007,Division No.  7,10,Newfoundland and Labrador
8205895,45.61,-61.68,1214,Antigonish,12,Nova Scotia
8404025,49.68,-54.8,1008,Division No.  8,10,Newfoundland and Labrador
8204193,45.23,-63.06,1210,Colchester,12,Nova Scotia
8504177,52.92,-66.86,1010,Division No. 10,10,Newfoundland and Labrador
8504176,52.92,-66.86,1010,Division No. 10,10,Newfoundland and Labrador
8206240,43.99,-64.66,1204,Queens,12,Nova Scotia
8404242,47.14,-55.33,1002,Division No.  2,10,Newfoundland and Labrador
8105603,46.15,-67.54,1311,Carleton,13,New Brunswick
8404343,47.71,-59.31,1004,Division No.  4,10,Newfoundland and Labrador
8206495,43.83,-66.09,1202,Yarmouth,12,Nova Scotia
8206496,43.83,-66.09,1202,Yarmouth,12,Nova Scotia
8206491,43.83,-66.09,1202,Yarmouth,12,Nova Scotia
