"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-01","2013","01","01","","-0.1","","-12.3","","-6.2","","24.2","","0.0","","0.0","","","M","3.0","","20","","26","","48",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-02","2013","01","02","","-10.5","","-13.2","","-11.9","","29.9","","0.0","","","M","","M","0.0","","14","","28","","61",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-03","2013","01","03","","-9.0","","-11.5","","-10.3","","28.3","","0.0","","","M","","M","0.2","","14","","24","","37",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-04","2013","01","04","","0.3","","-12.0","","-5.9","","23.9","","0.0","","0.0","","","M","1.0","","15","","","","<31",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-05","2013","01","05","","1.4","","-12.0","","-5.3","","23.3","","0.0","","0.0","","","M","1.2","","18","","30","","52",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-06","2013","01","06","","-3.7","","-15.0","","-9.4","","27.4","","0.0","","0.0","","","M","3.9","","18","","","","<31",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-07","2013","01","07","","-6.5","","-17.5","","-12.0","","30.0","","0.0","","","M","","M","0.4","","23","","","","<31",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-08","2013","01","08","","4.8","","-17.9","","-6.6","","24.6","","0.0","","","M","","M","0.0","","23","","21","","46",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-09","2013","01","09","","5.4","","-4.2","","0.6","","17.4","","0.0","","","M","","M","2.6","","18","","","","<31",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-10","2013","01","10","","4.3","","-0.6","","1.9","","16.1","","0.0","","","M","","M","0.3","","15","","27","","52",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-11","2013","01","11","","-0.6","","-5.6","","-3.1","","21.1","","0.0","","","M","","M","0.0","","13","","32","","37",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-12","2013","01","12","","0.9","","-6.6","","-2.9","","20.9","","0.0","","","M","","M","0.3","","13","","","","<31",""
"-64.48","45.07","KENTVILLE CDA CS","8202810","2013-01-13","2013","01","13","","5.7","","-1.4","","2.2","","15.8","","0.0","","","M","","M","0.0","","13","","","","<31",""
