"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-01","2016","01","01","","-3.0","","-8.6","","-5.8","","23.8","","0.0","","","M","","M","0.0","","24","","26","","35",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-02","2016","01","02","","-1.9","","-6.9","","-4.4","","22.4","","0.0","","","M","","M","0.0","","23","","23","","41",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-03","2016","01","03","","-4.3","","-9.6","","-7.0","","25.0","","0.0","","","M","","M","3.2","","22","","9","","37",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-04","2016","01","04","","-9.5","","-20.1","","-14.8","","32.8","","0.0","","","M","","M","0.2","","26","","29","","37",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-05","2016","01","05","","-10.8","","-20.4","","-15.6","","33.6","","0.0","","","M","","M","0.2","","24","","24","","37",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-06","2016","01","06","","-3.5","","-12.6","","-8.1","","26.1","","0.0","","","M","","M","0.0","","23","","25","","39",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-07","2016","01","07","","-0.5","","-13.2","","-6.9","","24.9","","0.0","","","M","","M","0.0","","23","","26","","32",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-08","2016","01","08","","-3.2","","-16.4","","-9.8","","27.8","","0.0","","","M","","M","0.7","","23","","","","<31",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-09","2016","01","09","","-4.4","","-16.7","","-10.6","","28.6","","0.0","","","M","","M","0.2","","24","","","","<31",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-10","2016","01","10","","0.7","","-4.8","","-2.1","","20.1","","0.0","","","M","","M","4.8","","24","","8","","67",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-11","2016","01","11","","3.1","","-12.9","","-4.9","","22.9","","0.0","","","M","","M","4.6","","","","9","","65",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-12","2016","01","12","","","M","-14.5","E","","M","","M","","M","","M","","M","","M","18","","23","","33",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-13","2016","01","13","","-4.8","","-9.3","","-7.1","","25.1","","0.0","","","M","","M","1.2","","19","","29","","54",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-14","2016","01","14","","-9.1","","-14.1","","-11.6","","29.6","","0.0","","","M","","M","0.0","","19","","27","","52",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-15","2016","01","15","","-8.0","","-15.2","","-11.6","","29.6","","0.0","","","M","","M","0.2","","19","","27","","57",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-16","2016","01","16","","-5.7","","-14.4","","-10.1","","28.1","","0.0","","","M","","M","0.0","","19","","","","<31",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-17","2016","01","17","","-3.4","","-11.5","","-7.5","","25.5","","0.0","","","M","","M","0.2","","18","","28","","32",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-18","2016","01","18","","-7.8","","-14.3","","-11.1","","29.1","","0.0","","","M","","M","0.2","","20","","28","","35",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-19","2016","01","19","","-4.8","","-12.7","","-8.8","","26.8","","0.0","","","M","","M","0.2","","19","","25","","41",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-20","2016","01","20","","-4.9","","-8.7","","-6.8","","24.8","","0.0","","","M","","M","0.0","","18","","30","","67",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-21","2016","01","21","","-7.6","","-10.4","","-9.0","","27.0","","0.0","","","M","","M","0.0","","18","","28","","65",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-22","2016","01","22","","-8.3","","-13.1","","-10.7","","28.7","","0.0","","","M","","M","0.0","","18","","28","","52",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-23","2016","01","23","","-6.3","","-19.6","","-13.0","","31.0","","0.0","","","M","","M","0.0","","18","","","","<31",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-24","2016","01","24","","-5.4","","-21.7","","-13.6","","31.6","","0.0","","","M","","M","0.0","","17","","","","<31",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-25","2016","01","25","","-3.2","","-14.8","","-9.0","","27.0","","0.0","","","M","","M","0.0","","18","","","","<31",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-26","2016","01","26","","-0.5","","-14.5","","-7.5","","25.5","","0.0","","","M","","M","4.1","","17","","","","<31",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-27","2016","01","27","","1.2","","-13.6","","-6.2","","24.2","","0.0","","","M","","M","0.8","","22","","29","","46",""
"-66.33","47.99","CHARLO AUTO","8100885","2016-01-28","2016","01","28","","-4.8","","-17.3","","-11.1","","29.1","","0.0","","","M","","M","0.0","","21","","","","<31",""
