Longitude (x),Latitude (y),Station Name,Climate ID,Province
-64.68,46.11,MONCTON / GREATER MONCTON ROMEO LEBLANC INTL A,8103202,NEW BRUNSWICK
-64.68,46.11,MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,8103201,NEW BRUNSWICK
-61.68,56.55,NAIN,8502799,NEWFOUNDLAND AND LABRADOR
-61.68,56.55,NAIN A,8502801,NEWFOUNDLAND AND LABRADOR
-61.68,56.55,NAIN A,8502810,NEWFOUNDLAND AND LABRADOR
-64.24,45.76,NAPPAN AUTO,8203702,NOVA SCOTIA
-64.0,47.06,NORTH CAPE,8300516,PRINCE EDWARD ISLAND
-60.67,46.82,NORTH MOUNTAIN CS,8204161,NOVA SCOTIA
-60.98,46.37,NORTHEAST MARGAREE (AUT),8204154,NOVA SCOTIA
-66.1,45.51,OAK POINT,8103780,NEW BRUNSWICK
-63.42,44.61,OSBORNE HEAD DND,8204190,NOVA SCOTIA
-64.35,45.41,PARRSBORO,8204402,NOVA SCOTIA
-63.83,44.77,POCKWOCK LAKE,8204453,NOVA SCOTIA
-66.45,45.07,POINT LEPREAU CS,8104201,NEW BRUNSWICK
-53.58,49.11,POOLS ISLAND,840BR7C,NEWFOUNDLAND AND LABRADOR
-59.15,47.57,PORT AUX BASQUES,8402980,NEWFOUNDLAND AND LABRADOR
-61.37,45.66,PORT HAWKESBURY,8204495,NOVA SCOTIA
-65.6,47.44,RED PINES,8104295,NEW BRUNSWICK
-60.01,43.93,SABLE ISLAND,8204708,NOVA SCOTIA
-59.96,43.93,SABLE ISLAND A,8204703,NOVA SCOTIA
-62.59,58.48,SAGLEK,8503249,NEWFOUNDLAND AND LABRADOR
-55.79,47.37,SAGONA ISLAND,8403255,NEWFOUNDLAND AND LABRADOR
-65.89,45.32,SAINT JOHN A,8104901,NEW BRUNSWICK
-63.5,44.63,SHEARWATER A,8205090,NOVA SCOTIA
-63.52,44.63,SHEARWATER JETTY,8205093,NOVA SCOTIA
-63.51,44.63,SHEARWATER RCS,8205092,NOVA SCOTIA
-65.32,43.7,SHELBURNE SANDY POINT,8205130,NOVA SCOTIA
-55.86,47.86,ST ALBAN'S,8400416,NEWFOUNDLAND AND LABRADOR
