File generated on // Fichier créé sur, 2026-02-03

Pollutant // Polluant:, PM10
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-01,18,13,12,14,11,15,12,13,13,15,16,13,13,8,14,11,10,10,7,6,14,10,10,9
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-02,8,7,5,6,12,10,13,9,10,8,8,-999,2,5,7,8,6,7,6,6,7,6,4,6
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-03,7,7,11,9,8,5,9,7,5,6,6,-999,8,7,6,11,7,17,2,2,5,-999,6,12
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-04,8,7,7,5,3,3,8,8,6,5,5,6,6,4,7,7,3,6,7,9,9,6,5,7
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-05,6,5,38,5,5,2,4,7,5,3,8,11,9,8,7,12,10,7,7,11,8,11,20,5
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-06,8,11,10,6,6,9,6,7,8,12,6,6,16,20,10,12,8,9,8,5,7,8,11,11
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-07,10,8,15,5,4,3,2,3,9,8,7,3,3,8,10,7,10,17,11,7,6,8,6,9
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-08,9,14,12,12,13,9,6,12,14,11,10,12,11,12,14,17,22,13,11,10,17,14,15,19
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-09,21,14,17,25,18,14,12,14,11,9,8,8,6,8,7,4,5,9,7,9,15,11,7,9
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-10,9,8,8,11,8,8,13,15,17,15,7,10,8,4,6,4,5,5,4,6,6,6,6,4
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-11,4,4,5,3,3,5,4,6,8,7,6,-999,2,5,7,8,6,8,7,4,7,9,9,8
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-12,6,7,4,4,6,6,3,1,6,5,3,3,3,2,5,-999,7,9,8,4,2,2,3,4
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-13,3,0,1,2,2,4,4,4,2,6,3,4,4,1,0,0,1,2,8,5,4,2,4,5
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-14,6,4,8,7,1,2,8,11,10,-999,10,14,12,11,15,13,9,3,3,6,5,4,3,2
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-15,4,12,7,3,2,5,9,15,17,24,21,-999,16,61,18,25,17,6,15,17,8,13,7,7
PM10,010901,Burin,NL,47.09899,-55.19852,2013-01-16,5,11,8,7,7,9,17,11,33,7,-999,-999,-999,6,11,6,1,8,10,26,26,15,10,5
