File generated on // Fichier créé sur, 2026-03-02

Pollutant // Polluant:, PM10
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-01,8,6,7,5,4,4,3,3,3,6,6,6,7,6,6,9,8,9,10,10,12,9,8,8
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-02,6,7,7,6,4,6,5,6,5,7,12,38,54,60,49,46,52,40,28,34,46,17,9,10
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-03,9,8,8,8,10,10,11,12,12,12,12,12,12,17,18,16,16,17,16,12,15,22,15,13
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-04,9,8,8,10,10,8,8,10,10,10,10,13,15,11,12,9,12,12,10,7,8,8,7,8
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-05,6,6,6,4,4,6,9,8,14,13,15,13,9,9,10,9,8,9,9,7,8,7,6,9
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-06,11,8,9,12,14,12,12,13,11,11,12,14,13,14,10,15,14,13,12,12,13,13,10,10
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-07,10,10,10,8,14,12,13,14,12,10,11,18,18,13,12,15,9,8,9,9,10,9,12,12
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-08,12,12,13,13,13,16,18,18,19,19,16,16,15,14,13,10,9,7,7,7,8,10,9,10
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-09,8,8,7,9,10,10,10,10,10,9,9,9,10,9,9,10,12,11,9,9,9,12,13,12
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-10,13,9,8,8,7,10,9,12,11,11,9,14,18,26,28,47,77,40,18,18,20,17,17,20
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-11,17,17,14,21,22,26,25,23,11,8,6,7,6,8,12,10,12,12,15,15,16,16,21,28
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-12,20,20,14,12,11,14,15,18,19,18,15,14,16,14,15,16,14,20,18,22,15,16,20,17
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-13,12,11,10,10,7,7,10,10,9,9,9,9,9,9,10,16,16,19,21,27,28,23,21,19
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-14,19,12,10,13,12,12,13,10,8,6,5,8,8,10,8,10,13,9,6,7,8,8,5,6
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-15,9,8,9,16,17,18,17,21,23,22,24,23,17,21,16,22,26,24,20,14,10,13,18,13
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-16,11,14,14,15,12,19,28,37,47,35,39,34,37,33,32,32,43,40,81,90,102,65,76,63
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-17,42,54,30,8,8,8,7,9,10,10,10,9,7,7,4,6,6,16,9,6,6,8,18,25
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-18,16,15,15,20,19,20,25,28,17,17,18,24,20,28,23,28,29,18,16,15,21,22,22,14
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-19,16,16,14,15,18,14,16,18,19,16,23,30,24,25,29,28,33,24,18,18,20,20,16,17
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-20,17,16,17,18,15,13,9,10,16,13,12,11,10,8,9,11,9,13,20,33,32,40,39,39
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-21,30,23,20,16,15,12,12,16,19,20,21,12,13,16,16,13,14,11,13,22,19,23,17,13
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-22,10,12,17,17,15,14,12,11,11,9,10,10,15,18,16,18,22,20,15,13,12,14,12,16
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-23,18,20,17,18,18,16,11,10,16,23,17,14,15,14,15,16,18,14,11,12,18,15,11,10
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-24,9,11,14,12,13,12,11,10,10,10,-999,-999,26,34,38,42,42,35,29,30,27,23,28,22
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-25,18,14,14,16,20,17,18,19,19,20,23,23,23,25,22,16,16,14,13,19,13,21,19,20
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-26,19,16,16,17,16,16,18,17,19,15,-999,-999,14,14,12,17,32,25,22,22,16,14,12,11
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-27,12,13,12,10,12,11,13,12,14,15,15,21,23,27,23,22,18,17,23,30,28,28,22,19
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-28,15,14,13,14,12,12,12,7,8,9,10,8,8,8,9,9,9,10,9,8,10,16,11,7
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-29,8,8,7,7,7,8,8,10,14,9,8,10,12,12,10,14,9,10,12,13,18,13,14,14
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-30,15,18,17,18,18,19,17,20,17,19,20,20,19,21,21,19,18,18,21,20,20,18,19,14
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-01-31,15,14,15,14,14,14,14,14,14,13,14,13,14,13,12,15,14,19,34,37,34,29,15,12
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-02-01,11,12,11,9,9,9,10,12,11,14,12,13,14,15,16,15,16,17,18,16,16,21,26,24
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-02-02,21,19,18,16,16,14,13,15,20,16,13,14,13,14,18,20,20,15,15,12,10,12,11,13
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-02-03,13,10,9,8,12,9,10,13,13,13,11,10,13,13,15,13,15,17,23,20,22,19,19,19
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-02-04,22,17,16,18,17,23,18,21,23,22,26,22,32,40,33,35,32,29,27,23,20,16,18,14
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-02-05,11,10,11,13,13,13,15,12,10,13,7,9,9,7,8,10,11,10,10,10,8,6,6,7
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-02-06,6,8,9,9,10,9,11,14,20,20,20,24,28,30,25,35,38,37,47,48,48,43,41,40
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-02-07,35,32,27,20,20,18,17,17,17,17,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,010102,St. John's,NL,47.56038,-52.71147,2024-02-08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,27,25,22,20,14,22,27,25,27,24,20
