Climate ID,Date,Monthly_Max_Gust_kmh,Monthly_Mean_Gust_Direction_10sdeg
8100467,2019-08-01,48.0,25.7
8100467,2019-09-01,78.0,21.96
8100467,2019-10-01,72.0,21.94
8100467,2019-11-01,85.0,21.5
8100467,2019-12-01,87.0,25.48
8100467,2020-01-01,66.0,24.3
8100467,2020-02-01,74.0,23.84
8100467,2020-03-01,82.0,20.0
8100467,2020-04-01,89.0,17.69
8100467,2020-05-01,72.0,20.72
8100467,2020-06-01,48.0,18.89
8100467,2020-07-01,42.0,19.77
8100467,2020-08-01,47.0,24.88
8100467,2020-09-01,56.0,20.95
8100467,2020-10-01,77.0,27.21
8100467,2020-11-01,78.0,26.29
8100467,2020-12-01,91.0,19.71
8100467,2021-01-01,63.0,25.76
8100467,2021-02-01,81.0,26.57
8100467,2021-03-01,97.0,24.96
8100467,2021-04-01,54.0,10.92
8100467,2021-05-01,63.0,22.76
8100467,2021-06-01,63.0,22.31
8100467,2021-07-01,53.0,21.8
8100467,2021-08-01,67.0,28.71
8100467,2021-09-01,61.0,29.4
8100467,2021-10-01,49.0,16.73
8100467,2021-11-01,67.0,25.16
8100467,2021-12-01,91.0,25.82
8100467,2022-01-01,81.0,23.67
8100467,2022-02-01,64.0,22.35
8100467,2022-03-01,84.0,23.12
8100467,2022-04-01,63.0,20.45
8100467,2022-05-01,52.0,25.61
8100467,2022-06-01,49.0,18.79
8100467,2022-07-01,62.0,25.61
8100467,2022-08-01,46.0,20.73
8100467,2022-09-01,82.0,26.43
8100467,2022-10-01,56.0,23.06
8100467,2022-11-01,72.0,24.46
8100467,2022-12-01,90.0,18.8
8100467,2023-01-01,68.0,21.33
8100467,2023-02-01,90.0,23.15
8100467,2023-03-01,61.0,18.4
8100467,2023-04-01,70.0,23.71
8100467,2023-05-01,59.0,23.23
8100467,2023-06-01,53.0,10.31
8100467,2023-07-01,47.0,22.64
8100467,2023-08-01,48.0,24.0
8100467,2023-09-01,55.0,21.25
8100467,2023-10-01,71.0,17.38
8100467,2023-11-01,59.0,27.46
8100467,2023-12-01,74.0,23.96
8100467,2024-01-01,73.0,23.43
8100467,2024-02-01,71.0,24.0
8100467,2024-03-01,72.0,18.0
8100467,2024-04-01,67.0,19.54
8100467,2024-05-01,48.0,19.12
8100467,2024-06-01,50.0,21.56
8100467,2024-07-01,54.0,23.27
8100467,2024-08-01,44.0,24.38
8100467,2024-09-01,40.0,21.57
8100467,2024-10-01,57.0,24.14
8100467,2024-11-01,75.0,20.86
8100467,2024-12-01,70.0,22.83
8100467,2025-01-01,63.0,24.08
8100467,2025-02-01,81.0,24.88
8100467,2025-03-01,67.0,25.16
8100467,2025-04-01,80.0,20.41
8100467,2025-05-01,58.0,17.37
8100467,2025-06-01,44.0,23.62
8100467,2025-07-01,55.0,25.38
8100467,2025-08-01,39.0,24.33
8100467,2025-09-01,43.0,27.92
8100467,2025-10-01,52.0,16.6
8100467,2025-11-01,64.0,24.77
8100467,2025-12-01,69.0,25.14
8100506,2018-10-01,35.0,31.0
8100506,2018-11-01,104.0,25.14
8100506,2018-12-01,74.0,29.14
8100506,2019-01-01,85.0,26.71
8100506,2019-02-01,96.0,26.84
8100506,2019-03-01,80.0,23.8
8100506,2019-04-01,91.0,20.72
8100506,2019-05-01,61.0,18.38
8100506,2019-06-01,84.0,20.08
8100506,2019-07-01,76.0,23.86
8100506,2019-08-01,58.0,24.36
8100506,2019-09-01,72.0,24.0
8100506,2019-10-01,68.0,23.24
8100506,2019-11-01,89.0,24.96
8100506,2019-12-01,91.0,24.56
8100506,2020-01-01,76.0,25.74
8100506,2020-02-01,78.0,24.09
8100506,2020-03-01,76.0,22.27
8100506,2020-04-01,80.0,17.92
8100506,2020-05-01,68.0,18.63
8100506,2020-06-01,72.0,20.42
8100506,2020-07-01,63.0,17.05
8100506,2020-08-01,78.0,23.36
8100506,2020-09-01,81.0,25.04
8100506,2020-10-01,81.0,24.46
8100506,2020-11-01,85.0,25.65
8100506,2020-12-01,68.0,23.42
8100506,2021-01-01,71.0,27.58
8100506,2021-02-01,78.0,23.7
8100506,2021-03-01,94.0,25.86
8100506,2021-04-01,72.0,16.93
8100506,2021-05-01,84.0,22.04
8100506,2021-06-01,68.0,23.42
8100506,2021-07-01,67.0,19.32
8100506,2021-08-01,58.0,19.61
8100506,2021-09-01,61.0,24.91
8100506,2021-10-01,65.0,14.55
8100506,2021-11-01,72.0,26.52
8100506,2021-12-01,87.0,27.44
8100506,2022-01-01,87.0,24.22
8100506,2022-02-01,78.0,24.76
8100506,2022-03-01,98.0,25.96
8100506,2022-04-01,81.0,22.79
8100506,2022-05-01,68.0,23.46
8100506,2022-06-01,65.0,20.74
8100506,2022-07-01,84.0,25.07
8100506,2022-08-01,59.0,20.6
8100506,2022-09-01,85.0,25.47
8100506,2022-10-01,55.0,23.72
8100506,2022-11-01,85.0,24.12
8100506,2022-12-01,93.0,21.41
8100506,2023-01-01,59.0,20.12
8100506,2023-02-01,87.0,26.8
8100506,2023-03-01,76.0,22.79
