NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
50116,MONTRÉAL - VERDUN,MONTRÉAL,QUEBEC,QC,45.4729,-73.573,0,1978-03-10,2015-03-06
50119,LONGUEUIL,LONGUEUIL,QUEBEC,QC,45.52207,-73.4881,1,1984-01-01,
50121,BROSSARD - PARC OCÉANIE,LONGUEUIL,QUEBEC,QC,45.44298,-73.468631,0,1993-04-05,2016-01-26
50122,BROSSARD - PARC SORBONNE,BROSSARD,QUEBEC,QC,45.448663,-73.480819,1,2016-01-28,
50124,MONTRÉAL - CHATEAUNEUF-ANJOU,MONTRÉAL,QUEBEC,QC,45.602846,-73.558874,1,1997-01-28,
50126,MONTRÉAL - SAINTE-ANNE DE BELLEVUE,MONTRÉAL,QUEBEC,QC,45.426542,-73.928929,1,1997-10-08,
50128,MONTRÉAL - AÉROPORT DE MONTRÉAL - 1,MONTRÉAL,QUEBEC,QC,45.468322,-73.741198,1,1998-01-01,
50129,MONTRÉAL - RIVIÈRE-DES-PRAIRIES,MONTRÉAL,QUEBEC,QC,45.651691,-73.573825,1,1998-12-04,
50131,MONTRÉAL - HOCHELAGA-MAISONNEUVE,MONTRÉAL,QUEBEC,QC,45.539928,-73.540388,1,2001-04-05,
50133,MONTRÉAL - CHENIER,MONTRÉAL,QUEBEC,QC,45.60176,-73.541992,0,2007-12-21,2018-12-31
50134,MONTRÉAL - MOLSON ,MONTRÉAL,QUEBEC,QC,45.54271,-73.57176,1,2008-09-28,
50135,MONTRÉAL-CASERNE 17,MONTRÉAL,QUEBEC,QC,45.5934,-73.63726,1,2013-04-12,
50136,MONTRÉAL - ST-DOMINIQUE,MONTRÉAL,QUEBEC,QC,45.512189,-73.566842,1,2016-01-28,
50137,TERREBONNE - PARC VAILLANT,TERREBONNE,QUEBEC,QC,45.70476,-73.65776,1,2016-11-16,
50138,MONTRÉAL-YORK/ROBERVAL,MONTRÉAL,QUEBEC,QC,45.464611,-73.582583,1,2015-12-31,
50204,GATINEAU - HULL,GATINEAU,QUEBEC,QC,45.435987,-75.723429,1,1997-01-23,
50308,QUÉBEC - VIEUX-LIMOILOU,QUÉBEC,QUEBEC,QC,46.821177,-71.220495,1,1989-12-16,
50310,QUÉBEC - COLLÈGE ST-CHARLES-GARNIER,QUÉBEC,QUEBEC,QC,46.794873,-71.246387,1,2000-09-07,
50311,QUÉBEC - ÉCOLE LES PRIMEVÈRES,QUÉBEC,QUEBEC,QC,46.774167,-71.369722,1,2005-01-18,
50313,QUÉBEC - HENRI-IV,QUÉBEC,QUEBEC,QC,46.781321,-71.308717,1,2019-12-31,
50314,QUÉBEC - CHARLESBOURG,QUÉBEC,QUEBEC,QC,46.861472,-71.257192,1,2020-12-31,
50404,SHERBROOKE - PARC-CAMBRON,SHERBROOKE,QUEBEC,QC,45.41231,-71.8746,0,2003-09-24,2022-02-23
50405,SHERBROOKE - PARC SYLVIE-DAIGLE,SHERBROOKE,QUEBEC,QC,45.414361,-71.882694,1,2023-03-16,
50504,SAGUENAY - UQAC,SAGUENAY,QUEBEC,QC,48.416374,-71.052412,1,2002-09-24,
50604,ROUYN-NORANDA - PARC TREMBLAY,ROUYN-NORANDA,QUEBEC,QC,48.234087,-78.982778,1,2001-01-01,
50702,SEPT-ÎLES,SEPT-ÎLES,QUEBEC,QC,50.216266,-66.385195,1,2024-07-16,
50803,TROIS-RIVIÈRES - ÉCOLE MEES,TROIS RIVIÈRES,QUEBEC,QC,46.357175,-72.546187,1,2014-08-01,
50902,SAGUENAY - PARC POWELL,SAGUENAY,QUEBEC,QC,48.43389,-71.18454,1,1989-04-04,
51111,DRUMMONDVILLE - STADE JACQUES-DESAUTELS,DRUMMONDVILLE,QUEBEC,QC,45.871345,-72.50309,1,2021-12-31,
51201,SHAWINIGAN - SAINT-MARC,SHAWINIGAN,QUEBEC,QC,46.55444,-72.73556,1,1977-08-04,
51501,SAINT-ZÉPHIRIN-DE-COURVAL,ST. ZÉPHIRIN-DE-COURVAL,QUEBEC,QC,46.04223333,-72.65976111,1,1987-05-21,
52001,CHARETTE,CHARETTE,QUEBEC,QC,46.4416,-72.89241,1,1989-01-01,
52201,SAINT-SIMON,SAINT-SIMON,QUEBEC,QC,45.715614,-72.840249,0,1989-04-06,2023-08-01
52301,SAINT-FAUSTIN-LAC-CARRÉ,SAINT-FAUSTIN-LAC-CARRÉ,QUEBEC,QC,46.035,-74.48083,1,1989-11-10,
52401,PARC DE LA GATINEAU-LA PÊCHE,LA PÊCHE,QUEBEC,QC,45.622378,-76.018046,1,1989-04-17,
52601,VARENNES - CH. DE LA BARONNIE,VARENNES,QUEBEC,QC,45.722896,-73.376808,0,1994-06-18,2016-10-05
52801,AUCLAIR,AUCLAIR,QUEBEC,QC,47.73333,-68.70722,1,1990-05-01,
53201,RÉS. F. ASHUAPMUSHUAN - PEMONCA ,LA DORÉ,QUEBEC,QC,48.80972,-72.73889,1,1990-10-01,
53301,DESCHAMBAULT,DESCHAMBAULT,QUEBEC,QC,46.682373,-71.965903,1,1991-06-08,
53501,SAINT-FRANÇOIS-DE-LÎLE-D'ORLÉANS,ST-FRANÇOIS-ÎLE-D'ORLÉANS,QUEBEC,QC,47.015308,-70.862523,0,1989-01-24,2020-07-17
53601,NOTRE-DAME-DU-ROSAIRE,NOTRE-DAME-DU-ROSAIRE,QUEBEC,QC,46.84889,-70.45418,1,1989-07-27,
53701,SAINT-HILAIRE-DE-DORSET,ST-HILAIRE-DE-DORSET,QUEBEC,QC,45.82486111,-70.856025,1,1990-08-01,
53801,TINGWICK,TINGWICK,QUEBEC,QC,45.905785,-71.948695,1,1989-04-01,
53901,LAC-ÉDOUARD,LAC-ÉDOUARD,QUEBEC,QC,47.64722,-72.29056,0,1991-01-01,2021-11-11
54102,SUTTON - ROUND TOP RIDGE,SUTTON,QUEBEC,QC,45.08861,-72.55694,0,1996-06-01,2017-04-10
54201,CHAPAIS,CHAPAIS,QUEBEC,QC,49.822282,-74.9764,1,1988-06-10,
54401,SAINT-ANICET,SAINT-ANICET,QUEBEC,QC,45.120624,-74.2896,1,1994-06-18,
54501,L'ASSOMPTION,L'ASSOMPTION,QUEBEC,QC,45.80942,-73.43473,0,1996-05-14,2017-07-12
54801,EASTMAN - LAC STUKELY,STUKELY-SUD,QUEBEC,QC,45.365683,-72.265099,0,1989-05-07,2016-09-13
54901,LA PATRIE,DITTON,QUEBEC,QC,45.37333,-71.250167,1,1991-01-23,
55001,MONT ST-MICHEL,MONT SAINT-MICHEL,QUEBEC,QC,46.76866,-75.432728,1,1991-01-19,
55101,SENNETERRE,SENNETERRE,QUEBEC,QC,48.431648,-77.196674,1,1992-02-25,
55201,LEMIEUX,LEMIEUX,QUEBEC,QC,46.3037,-72.060685,0,1999-09-09,2016-09-21
55301,SAINT-JEAN-SUR-RICHELIEU - L'ACADIE,SAINT-JEAN-SUR-RICHELIEU,QUEBEC,QC,45.29413,-73.34857,1,1999-08-11,
55501,FRELIGHSBURG,FRELIGHSBURG,QUEBEC,QC,45.041384,-72.856506,0,2005-05-11,2016-11-29
55502,FRELIGHSBURG-B,FRELIGHSBURG,QUEBEC,QC,45.05006,-72.86161,1,2017-01-01,
55601,MINGAN,MINGAN,QUEBEC,QC,50.27136,-64.2265,0,2005-06-23,2017-05-06
55701,LÉVIS - CHARNY,LÉVIS,QUEBEC,QC,46.709496,-71.26752,0,2006-01-01,2015-11-18
55702,LÉVIS - PARC GEORGES-MARANDA,LÉVIS,QUEBEC,QC,46.806029,-71.167506,1,2015-12-31,
55801,GRANBY - PARC POITEVIN,GRANBY,QUEBEC,QC,45.418639,-72.730667,1,2022-01-18,
60104,OTTAWA DOWNTOWN - RIDEAU & WURTEMBURG,OTTAWA,ONTARIO,ON,45.43433,-75.676,1,1976-01-01,
60106,OTTAWA  CENTRAL - 960 CARLING AVE,OTTAWA,ONTARIO,ON,45.38287,-75.71387,0,2007-01-01,2017-12-31
