station_id,hw_group,start_date,end_date,duration_days,mean_anomaly,max_anomaly,Latitude,Longitude,Province,CSDNAME
8100300,228,1998-05-13,1998-05-16,4,5.279999999999999,7.543999999999999,46.71,-67.72,New Brunswick,Perth
8100300,248,1998-07-13,1998-07-18,6,4.710523504273504,6.355999999999998,46.71,-67.72,New Brunswick,Perth
8100300,252,1998-08-08,1998-08-10,3,5.463388888888889,6.370833333333334,46.71,-67.72,New Brunswick,Perth
8100300,262,1998-11-30,1998-12-02,3,5.866666666666667,8.9,46.71,-67.72,New Brunswick,Perth
8100300,268,1998-12-13,1998-12-18,6,4.599050332383666,7.626923076923077,46.71,-67.72,New Brunswick,Perth
8100300,278,1999-01-16,1999-01-25,10,9.891228651059086,13.655999999999999,46.71,-67.72,New Brunswick,Perth
8100300,280,1999-02-01,1999-02-06,6,6.513487179487179,10.065384615384614,46.71,-67.72,New Brunswick,Perth
8100300,282,1999-02-10,1999-02-14,5,6.426512820512821,13.7375,46.71,-67.72,New Brunswick,Perth
8100300,286,1999-02-26,1999-03-05,8,6.892868741765481,12.704347826086957,46.71,-67.72,New Brunswick,Perth
8100300,288,1999-03-11,1999-03-14,4,4.5786725955204215,7.066666666666666,46.71,-67.72,New Brunswick,Perth
8100300,294,1999-03-22,1999-03-25,4,4.457291666666666,6.25,46.71,-67.72,New Brunswick,Perth
8100300,296,1999-03-27,1999-03-30,4,4.066666666666666,6.191666666666666,46.71,-67.72,New Brunswick,Perth
8100300,306,1999-05-03,1999-05-09,7,7.106593406593406,8.276923076923076,46.71,-67.72,New Brunswick,Perth
8100300,308,1999-05-16,1999-05-19,4,5.80674358974359,7.192307692307693,46.71,-67.72,New Brunswick,Perth
8100300,314,1999-05-29,1999-06-03,6,6.092307692307693,11.61153846153846,46.71,-67.72,New Brunswick,Perth
8100300,318,1999-06-11,1999-06-15,5,5.971784615384616,7.392000000000001,46.71,-67.72,New Brunswick,Perth
8100300,326,1999-07-15,1999-07-18,4,3.7427083333333337,5.524000000000001,46.71,-67.72,New Brunswick,Perth
8100300,328,1999-07-22,1999-07-28,7,3.6528190883190885,4.959259259259259,46.71,-67.72,New Brunswick,Perth
8100300,330,1999-07-30,1999-08-01,3,4.791666666666667,5.833333333333332,46.71,-67.72,New Brunswick,Perth
