station_id,hw_group,start_date,end_date,duration_days,mean_anomaly,max_anomaly
8100300,1180,2014-09-01,2014-09-06,6,5.454019943019943,6.619230769230768
8100300,1184,2014-09-25,2014-09-28,4,2.7363603988603984,3.174074074074074
8100300,1194,2014-11-24,2014-11-26,3,7.273333333333333,9.808
8100300,1198,2014-12-12,2014-12-19,8,5.956891025641026,8.118518518518519
8100300,1200,2014-12-23,2014-12-26,3,9.15038888888889,13.079166666666666
8100300,1226,2015-05-25,2015-05-30,6,7.02820512820513,10.084615384615384
8100300,1234,2015-08-18,2015-08-25,8,4.63896225071225,6.067999999999998
8100300,1240,2015-09-07,2015-09-10,4,4.101167582417582,5.133333333333333
8100300,1242,2015-09-14,2015-09-20,7,5.798620559334845,9.560714285714285
8100300,1244,2015-09-28,2015-09-30,3,4.285897435897436,6.415384615384616
8100300,1246,2015-10-12,2015-10-14,3,4.061538461538462,4.430769230769231
8100300,1260,2015-11-20,2015-11-22,3,3.9391263057929726,6.948148148148148
8100300,1266,2015-12-05,2015-12-08,3,4.219230769230769,5.111111111111111
8100300,1268,2015-12-10,2015-12-18,9,7.2476733143399805,11.438461538461539
8100300,1270,2015-12-20,2015-12-28,9,6.861445868945869,12.187999999999999
8100300,1272,2015-12-31,2016-01-11,5,6.3232923076923075,8.484
8100300,1282,2016-01-29,2016-02-05,8,9.240346153846154,16.696
8100300,1286,2016-02-16,2016-02-18,3,8.568,10.360000000000001
8100300,1290,2016-02-24,2016-02-26,3,8.519641025641027,12.35
8100300,1294,2016-09-07,2016-09-10,4,5.226167582417582,5.715384615384615
8100300,1296,2016-09-19,2016-09-21,3,4.658553791887125,6.275
8100300,1298,2016-10-06,2016-10-08,3,3.3108736942070274,4.651851851851852
8100300,1308,2016-11-13,2016-11-21,8,4.650089031339031,7.033333333333333
8100300,1312,2016-11-30,2016-12-02,3,2.9333333333333336,3.4
8100300,1320,2017-04-05,2017-04-10,6,4.299333333333333,8.856000000000002
8100300,1336,2017-06-11,2017-06-13,3,5.08,6.532
8100300,1338,2017-06-18,2017-06-20,3,4.390722222222222,7.404166666666665
8100300,1354,2017-09-14,2017-09-21,8,3.8886078042328043,5.582142857142857
8100300,1356,2017-09-23,2017-09-27,5,7.830997150997152,9.884615384615385
8100300,1366,2017-10-23,2017-10-27,5,8.412248677248678,11.653571428571428
8100300,1368,2017-10-29,2017-10-31,3,6.925,10.028571428571428
8100300,1386,2017-12-05,2017-12-10,6,4.211039886039886,5.611111111111111
8100300,1396,2018-01-18,2018-01-24,7,3.8458211498646278,5.5375
8100300,1406,2018-02-18,2018-02-21,4,7.008538461538462,11.126923076923077
8100300,1410,2018-02-26,2018-03-12,15,5.985278787878788,8.732000000000001
8100300,1416,2018-04-24,2018-04-29,6,4.609,6.696153846153846
