NAPS_ID,Station_Name,Status,Location_Address,City,Province/Territory,Postal_Code,Timezone_UTC,Latitude,Longitude,Elevation_m,Start_Date,End_Date
30502,KEJIMKUJIK NATIONAL PARK - B,1,NATIONAL PARK,KEJIMKUJIK,NOVA SCOTIA,B0T 1B0,-4,44.43244,-65.20264,124,1/1/2016,
30601,FALL RIVER - 123 OAKES RD.,0,123 OAKES ROAD,FALL RIVER,NOVA SCOTIA,B2T 1J5,-4,44.8125,-63.60417,72,1/1/1986,4/14/1989
30701,AYLESFORD MOUNTAIN,1,"1009 BROW MOUNTAIN ROAD, KINGS COUNTY",AYLESFORD,NOVA SCOTIA,B0P 1C0,-4,45.07254,-64.84025,235,7/2/1991,
30801,YARMOUTH - DAYTON,0,"YARMOUTH WEATHER OFFICE, DAYTON",YARMOUTH,NOVA SCOTIA,B5A (4A8),-4,43.83333,-66.08333,31,1/5/1994,12/31/2013
30901,PICTOU,1,91 BEECHES ROAD,PICTOU,NOVA SCOTIA,B0K 1H0,-4,45.681744,-62.696575,12,1/1/2001,
31001,SABLE ISLAND,0,SABLE ISLAND,SABLE ISLAND,NOVA SCOTIA,,-4,43.932297,-60.009287,8,5/23/2003,4/18/2015
31101,KENTVILLE - AGRI-FOOD CANADA,1,32 MAIN STREET,KENTVILLE,NOVA SCOTIA,B4N 1J5,-4,45.067284,-64.477425,60,8/16/2002,
31201,GRANTON,0,20 PUMPHOUSE ROAD,GRANTON,NOVA SCOTIA,B0K 1H0,-4,45.63115,-62.73838,2,,3/25/2016
40103,FREDERICTON - ABERDEEN ST.,0,437 ABERDEEN STREET,FREDERICTON,NEW BRUNSWICK,E3B 1S2,-4,45.957318,-66.646719,21,4/16/1999,3/30/2017
40104,FREDERICTON - NEEDHAM ST.,1,486 NEEDHAM STREET,FREDERICTON,NEW BRUNSWICK,E3B 1P1,-4,45.957289,-66.645236,10,8/31/2016,
40201,SAINT JOHN - 110 CHARLOTTE ST.,0,110 CHARLOTTE STREET,SAINT JOHN,NEW BRUNSWICK,E2L 2J3,-4,45.272517,-66.058401,51,1/23/1974,2/6/1974
40202,SAINT JOHN - POST OFFICE,0,POST OFFICE,SAINT JOHN,NEW BRUNSWICK,E2L 0B1,-4,45.27056,-66.0625,2,1/1/1974,10/15/1991
40203,SAINT JOHN - FOREST HILLS,1,MOUNTAIN ROAD,SAINT JOHN,NEW BRUNSWICK,E2J 2X1,-4,45.308762,-66.008384,41,1/1/1980,
40204,SAINT JOHN - WEST DISTRICT POLICE STATION,0,1918 MANAWAGONISH ROAD,SAINT JOHN,NEW BRUNSWICK,E2M 5H5,-4,45.23474,-66.1376,49,1/1/1980,5/31/1983
40206,SAINT JOHN - CUSTOMS BUILDING,0,189 PRINCE WILLIAM,SAINT JOHN,NEW BRUNSWICK,E2L 2B9,-4,45.269677,-66.06151,29,11/14/1991,3/8/2016
40207,SAINT JOHN - WEST SIDE,1,476 LANCASTER AVENUE W.,SAINT JOHN,NEW BRUNSWICK,E2M 2L7,-4,45.252898,-66.080065,59,9/16/1997,
40208,SAINT JOHN - CHAMPLAIN HEIGHTS SCHOOL,1,111 CHAMPLAIN DRIVE,SAINT JOHN,NEW BRUNSWICK,E2J 3E4,-4,45.291218,-66.00305,47,7/11/2000,
40209,SAINT JOHN - CASTLE ST.,1,8 CASTLE STREET,SAINT JOHN,NEW BRUNSWICK,E2J 3B8,-4,45.28028,-66.05611,41,1/1/2009,
40302,MONCTON - THANET ST.,1,5 THANET STREET,MONCTON,NEW BRUNSWICK,E1C 3G7,-4,46.101578,-64.789661,9,7/17/1998,
40401,HASTINGS TOWER - FUNDY PARK,0,HASTINGS TOWER,FUNDY NAT. PARK,NEW BRUNSWICK,E4H,-4,45.59222,-64.99444,335,6/9/1989,5/25/2015
40501,POINT LEPREAU - CHARLOTTE COUNTY,0,RECREATION AREA,POINT LEPREAU,NEW BRUNSWICK,E5J,-4,45.073272,-66.449573,0,7/15/1986,10/27/2016
40601,BLISSVILLE - SUNBURY COUNTY,0,AIRPORT ROAD,BLISSVILLE - SUNBURY COUNTY,NEW BRUNSWICK,E5L 1Z2,-4,45.605425,-66.559505,9,7/2/1987,4/4/2014
40701,NORTON - KINGS COUNTY,0,308 HWY 124,NORTON - KINGS COUNTY,NEW BRUNSWICK,E5T 1R2,-4,45.64192,-65.70127,20,6/5/1989,1/15/2018
40801,CANTERBURY,0,487 ROUTE 122,DOW SETTLEMENT,NEW BRUNSWICK,E6H 1B9,-4,45.950069,-67.477738,153,8/1/1994,11/12/2014
40901,ST. ANDREWS - HUNTSMAN MARINE SCIENCES CTR.,1,"MARINE SCIENCE DRIVE, ROUTE 127",ST. ANDREWS,NEW BRUNSWICK,E5B 3S9,-4,45.086912,-67.074036,25,1/9/1995,
41001,CAMPOBELLO ISLAND,0,CAMPOBELLO ISLAND,CAMPOBELLO ISLAND,NEW BRUNSWICK,,-4,44.87306,-66.95611,29,5/24/1995,9/30/2005
41101,ST. LEONARD - AIRPORT,0,St. Leonard Airport (YSL),ST. LEONARD,NEW BRUNSWICK,E7E 2P7,-4,47.157628,-67.831015,239,5/10/2000,12/23/2016
41201,MIRAMICHI - LOWER NEWCASTLE,0,55 ROUTE 11 HWY,MIRAMICHI,NEW BRUNSWICK,E1V 7E7,-4,47.071087,-65.423534,18,6/1/2000,4/13/2018
41301,BATHURST - HOLY FAMILY CHURCH,0,430 ST. PETERS AVENUE,BATHURST,NEW BRUNSWICK,E2A 2Y2,-4,47.62889,-65.66333,20,1/1/2000,10/23/2002
41302,BATHURST - ROUGH WATERS DR.,1,1255 ROUGH WATERS DRIVE,BATHURST,NEW BRUNSWICK,E2A 1Z2,-4,47.609693,-65.633509,16,1/1/2005,
41501,EDMUNDSTON - QUEEN ST.,1,19 Queen St.,EDMUNDSTON,NEW BRUNSWICK,E3V 1A2,-4,47.363195,-68.322302,159,5/18/2007,
41601,MIRAMICHI - GRETNA GREEN DR.,1,15 GRETNA GREEN DRIVE,MIRAMICHI,NEW BRUNSWICK,E1V 5V6,-4,47.025671,-65.520487,24,1/22/2020,
50101,MONTRÉAL - PARC JARRY,0,PARC JARRY,MONTRÉAL,QUEBEC,,-5,45.53486,-73.63307,47,1/1/1974,11/30/1983
50102,MONTRÉAL - JARDIN BOTANIQUE,0,BOUL. ROSEMONT,MONTRÉAL,QUEBEC,H1X 2C1,-5,45.56221,-73.571785,59,1/1/1974,1/5/2009
50103,MONTRÉAL - SAINT-JEAN-BAPTISTE,1,"1050 A, BOUL. SAINT-JEAN-BAPTISTE",MONTRÉAL,QUEBEC,H1B 4A1,-5,45.641026,-73.499682,19,1/4/1974,
50104,MONTRÉAL - ONTARIO,0,1125 RUE ONTARIO EST,MONTRÉAL,QUEBEC,H2L 1R2,-5,45.52055,-73.563222,46,1/1/1974,9/29/2008
50105,MONTRÉAL - DRUMMOND,0,1212 RUE DRUMMOND,MONTRÉAL,QUEBEC,H3G 1V7,-5,45.497859,-73.573035,52,1/1/1974,12/31/2014
50106,MONTRÉAL - VILLE ST-LAURENT,0,VILLE ST-LAURENT,MONTRÉAL,QUEBEC,,-5,45.525,-73.67194,40,2/1/1974,12/31/1983
50107,MONTRÉAL - VILLE LASALLE,0,VILLE LASALLE,MONTRÉAL,QUEBEC,,-5,45.46,-73.60556,13,6/4/1974,8/31/1980
50108,LONGUEUIL - BOURASSA,0,1700 BOURASSA  LONGUEUIL,LONGUEUIL,QUEBEC,J4J 3A6,-5,45.52222,-73.48389,29,1/2/1982,12/31/1983
50109,MONTRÉAL - ÉCHANGEUR DÉCARIE,1,"2495 DUNCAN / DECARIE, MT-ROYAL",MONTRÉAL,QUEBEC,H4P 2A2,-5,45.502648,-73.663913,41,1/1/1974,
50110,MONTRÉAL - PARC-PILON,0,"11280 BOUL. PIE IX, MTL NORD",MONTRÉAL,QUEBEC,H1H 4B5,-5,45.594576,-73.641535,21,10/23/1974,4/6/2013
50111,LAVAL - DUVERNAY,0,2900 BOUL. CONCORDE,LAVAL,QUEBEC,H7E 2B6,-5,45.589722,-73.820833,24,5/1/1975,5/18/1981
50112,LAVAL - PONT VIAU,0,PONT-VIAU,LAVAL,QUEBEC,,-5,45.56,-73.681389,25,9/2/1975,12/31/1992
50113,LAVAL - CHOMEDEY,1,1160 BOUL PIE-IX,LAVAL,QUEBEC,H7V 3B5,-5,45.547463,-73.7483166,35,3/1/1976,
50114,MONTRÉAL - 677 STE-CATHERINE O.,0,677 STE-CATHERINE O.,MONTRÉAL,QUEBEC,H3B 3Y6,-5,45.50278,-73.57083,97,1/1/1976,5/31/1982
50115,MONTRÉAL - MAISONNEUVE,0,1001 BOUL DE MAISONNEUVE OUEST,MONTRÉAL,QUEBEC,H3A 3C8,-5,45.501531,-73.574311,56,4/1/1977,1/1/2016
50116,MONTRÉAL - VERDUN,0,"3161 JOSEPH, VERDUN",MONTRÉAL,QUEBEC,H4G 1H8,-5,45.4729,-73.573,21,3/10/1978,3/6/2015
50117,MONTRÉAL - 7405 CHAMPAGNEUR,0,7405 CHAMPAGNEUR,MONTRÉAL,QUEBEC,H3N 2K1,-5,45.52749,-73.62646,48,1/4/1984,1/31/1993
50118,MONTRÉAL - 820 ST. GERMAIN,0,820 ST. GERMAIN,MONTRÉAL,QUEBEC,,-5,45.51259,-73.67792,36,1/1/1984,12/21/1992
50119,LONGUEUIL,1,FACE AU 1819 RUE VICTORIA,LONGUEUIL,QUEBEC,J4J 3C8,-5,45.52207,-73.4881,32,1/1/1984,
50120,MONTRÉAL - ROXBORO,0,"54, 4e  AVE SUD, ROXBORO",MONTRÉAL,QUEBEC,,-5,45.49444,-73.80778,33,1/1/1988,12/31/1996
50121,BROSSARD - PARC OCÉANIE,0,8361 RUE OCEANIE - BROSSARD,LONGUEUIL,QUEBEC,,-5,45.44298,-73.468631,15,4/5/1993,1/26/2016
